time,observed,prediction,best_model,cell_line,density
1.0,80.43985333333335,80.43985333333335,theta_logistic_growth,A2780cis,30k
2.0,140.19456033333336,130.56584931394983,theta_logistic_growth,A2780cis,30k
3.0,246.1790123333333,211.86069272372993,theta_logistic_growth,A2780cis,30k
4.0,504.2686343333333,343.4913458542645,theta_logistic_growth,A2780cis,30k
5.0,917.9230323333333,555.7304420303451,theta_logistic_growth,A2780cis,30k
6.0,1707.4850310000002,894.2406820175906,theta_logistic_growth,A2780cis,30k
7.0,2472.925848666667,1419.171805493288,theta_logistic_growth,A2780cis,30k
8.0,3185.559259,2176.0082925764764,theta_logistic_growth,A2780cis,30k
9.0,3761.654668333333,3079.031415431107,theta_logistic_growth,A2780cis,30k
10.0,3510.291435333333,3730.856270469043,theta_logistic_growth,A2780cis,30k
11.0,4178.483796333333,3818.3038450545614,theta_logistic_growth,A2780cis,30k
12.0,3520.712191666667,3818.3038450545614,theta_logistic_growth,A2780cis,30k
13.0,4140.540624666667,3818.3038450545614,theta_logistic_growth,A2780cis,30k
14.0,3732.035031,3818.3038450545614,theta_logistic_growth,A2780cis,30k
16.0,3716.145640666667,3818.3038450545614,theta_logistic_growth,A2780cis,30k
18.0,3651.252237666666,3818.3038450545614,theta_logistic_growth,A2780cis,30k
