time,observed,prediction,best_model,cell_line,density
1.0,280.6765433333333,280.6765433333333,logistic_growth,A2780Naive,20k
2.0,415.7101466666666,562.0412619396493,logistic_growth,A2780Naive,20k
3.0,908.8381946666667,1047.4909098343498,logistic_growth,A2780Naive,20k
4.0,1701.1216823333332,1743.802687669032,logistic_growth,A2780Naive,20k
5.0,2629.3940586666668,2517.4544210154977,logistic_growth,A2780Naive,20k
6.0,3264.7935765,3167.031988266741,logistic_growth,A2780Naive,20k
7.0,3641.570756333333,3595.9939275536713,logistic_growth,A2780Naive,20k
8.0,3601.847184,3836.2082472220422,logistic_growth,A2780Naive,20k
9.0,3866.1673996666664,3958.4546316958754,logistic_growth,A2780Naive,20k
10.0,3884.2516586666666,4017.642893904541,logistic_growth,A2780Naive,20k
11.0,4153.039699,4045.608496269611,logistic_growth,A2780Naive,20k
12.0,3981.5291666666667,4058.6692100225587,logistic_growth,A2780Naive,20k
13.0,4213.666204,4064.735816033764,logistic_growth,A2780Naive,20k
14.0,4195.749691333333,4067.5465845350964,logistic_growth,A2780Naive,20k
