time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density
0.0,67.0,67.0,true,logistic_growth,shared,A2780Naive,20k
1.0,280.6765433333333,157.68923009512113,false,logistic_growth,shared,A2780Naive,20k
2.0,415.7101466666666,359.8197578140631,false,logistic_growth,shared,A2780Naive,20k
3.0,908.8381946666667,768.8139021922335,false,logistic_growth,shared,A2780Naive,20k
4.0,1701.1216823333332,1455.3564447625388,false,logistic_growth,shared,A2780Naive,20k
5.0,2629.3940586666668,2312.31306320598,false,logistic_growth,shared,A2780Naive,20k
6.0,3264.7935765,3060.1301010128213,false,logistic_growth,shared,A2780Naive,20k
7.0,3641.570756333333,3534.5323025828393,false,logistic_growth,shared,A2780Naive,20k
8.0,3601.847184,3777.5769698890854,false,logistic_growth,shared,A2780Naive,20k
9.0,3866.1673996666664,3888.5474391476723,false,logistic_growth,shared,A2780Naive,20k
10.0,3884.2516586666666,3936.5401116871894,false,logistic_growth,shared,A2780Naive,20k
11.0,4153.039699,3956.807517358441,false,logistic_growth,shared,A2780Naive,20k
12.0,3981.5291666666667,3965.28026887413,false,logistic_growth,shared,A2780Naive,20k
13.0,4213.666204,3968.8072606928486,false,logistic_growth,shared,A2780Naive,20k
14.0,4195.749691333333,3970.272851899437,false,logistic_growth,shared,A2780Naive,20k
0.0,100.0,100.0,true,logistic_growth,shared,A2780Naive,30k
1.0,246.85030866666668,232.69488213181455,false,logistic_growth,shared,A2780Naive,30k
2.0,386.6241513333334,517.9128055792288,false,logistic_growth,shared,A2780Naive,30k
3.0,921.0547066666668,1054.1536351750174,false,logistic_growth,shared,A2780Naive,30k
4.0,1594.845139,1848.4318856078964,false,logistic_growth,shared,A2780Naive,30k
5.0,2628.855208333333,2689.429946721913,false,logistic_growth,shared,A2780Naive,30k
6.0,3034.912075666667,3315.470889972081,false,logistic_growth,shared,A2780Naive,30k
7.0,3462.9069443333333,3670.0205087411678,false,logistic_growth,shared,A2780Naive,30k
8.0,3405.0643130000003,3840.4644326672883,false,logistic_growth,shared,A2780Naive,30k
9.0,3755.2344136666666,3915.941514436599,false,logistic_growth,shared,A2780Naive,30k
10.0,3652.791281,3948.1440832724725,false,logistic_growth,shared,A2780Naive,30k
11.0,4085.137268666667,3961.6647384044263,false,logistic_growth,shared,A2780Naive,30k
12.0,4010.5481483333333,3967.303286240148,false,logistic_growth,shared,A2780Naive,30k
13.0,4137.956713,3969.648089698031,false,logistic_growth,shared,A2780Naive,30k
14.0,4169.734799333333,3970.622028194622,false,logistic_growth,shared,A2780Naive,30k
0.0,67.0,67.0,true,logistic_growth,partial_5pct,A2780Naive,20k
1.0,280.6765433333333,160.16569858432067,false,logistic_growth,partial_5pct,A2780Naive,20k
2.0,415.7101466666666,370.9400659171271,false,logistic_growth,partial_5pct,A2780Naive,20k
3.0,908.8381946666667,802.4677704277748,false,logistic_growth,partial_5pct,A2780Naive,20k
4.0,1701.1216823333332,1529.6071278426884,false,logistic_growth,partial_5pct,A2780Naive,20k
5.0,2629.3940586666668,2429.003036354795,false,logistic_growth,partial_5pct,A2780Naive,20k
6.0,3264.7935765,3197.20239828535,false,logistic_growth,partial_5pct,A2780Naive,20k
7.0,3641.570756333333,3671.7149684612646,false,logistic_growth,partial_5pct,A2780Naive,20k
8.0,3601.847184,3908.7707090635868,false,logistic_growth,partial_5pct,A2780Naive,20k
9.0,3866.1673996666664,4014.6878152699333,false,logistic_growth,partial_5pct,A2780Naive,20k
10.0,3884.2516586666666,4059.6395191955285,false,logistic_growth,partial_5pct,A2780Naive,20k
11.0,4153.039699,4078.2993000167303,false,logistic_growth,partial_5pct,A2780Naive,20k
12.0,3981.5291666666667,4085.973746774215,false,logistic_growth,partial_5pct,A2780Naive,20k
13.0,4213.666204,4089.118101757909,false,logistic_growth,partial_5pct,A2780Naive,20k
14.0,4195.749691333333,4090.404366844305,false,logistic_growth,partial_5pct,A2780Naive,20k
0.0,100.0,100.0,true,logistic_growth,partial_5pct,A2780Naive,30k
1.0,246.85030866666668,226.14045963198987,false,logistic_growth,partial_5pct,A2780Naive,30k
2.0,386.6241513333334,491.2140727119489,false,logistic_growth,partial_5pct,A2780Naive,30k
3.0,921.0547066666668,985.2897521334728,false,logistic_growth,partial_5pct,A2780Naive,30k
4.0,1594.845139,1729.4665703829576,false,logistic_growth,partial_5pct,A2780Naive,30k
5.0,2628.855208333333,2555.027242550007,false,logistic_growth,partial_5pct,A2780Naive,30k
6.0,3034.912075666667,3210.6823320111203,false,logistic_growth,partial_5pct,A2780Naive,30k
7.0,3462.9069443333333,3606.6146939587907,false,logistic_growth,partial_5pct,A2780Naive,30k
8.0,3405.0643130000003,3807.478805768422,false,logistic_growth,partial_5pct,A2780Naive,30k
9.0,3755.2344136666666,3900.408384779596,false,logistic_growth,partial_5pct,A2780Naive,30k
10.0,3652.791281,3941.5637344839856,false,logistic_growth,partial_5pct,A2780Naive,30k
11.0,4085.137268666667,3959.436471979202,false,logistic_growth,partial_5pct,A2780Naive,30k
12.0,4010.5481483333333,3967.1320313888596,false,logistic_growth,partial_5pct,A2780Naive,30k
13.0,4137.956713,3970.4333457459543,false,logistic_growth,partial_5pct,A2780Naive,30k
14.0,4169.734799333333,3971.8473166092303,false,logistic_growth,partial_5pct,A2780Naive,30k
0.0,67.0,67.0,true,logistic_growth,independent_diagnostic,A2780Naive,20k
1.0,280.6765433333333,165.73990721057848,false,logistic_growth,independent_diagnostic,A2780Naive,20k
2.0,415.7101466666666,395.42411487154277,false,logistic_growth,independent_diagnostic,A2780Naive,20k
3.0,908.8381946666667,871.3679203611222,false,logistic_growth,independent_diagnostic,A2780Naive,20k
4.0,1701.1216823333332,1657.8465325728444,false,logistic_growth,independent_diagnostic,A2780Naive,20k
