model,pooling_mode,eligible_for_inheritance,diagnostic_model,bic,ssr,scaled_ssr,params,cell_line,density,mix,n_densities,n_points,parameter_count,boundary_issue,accepted_boundary_expansions,package_api,delta_bic,rank_within_cell_line
baranyi_theta_logistic_growth,partial_5pct,true,false,-177.5588224995718,423284.1635631907,0.024155919107992897,"[1.972276312271744, 4067.8313326049256, 0.3078701226100252, 0.3917239510595033, -0.042694092844672654, -0.008530711473958848]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,0.0,1
theta_logistic_growth,partial_5pct,true,false,-177.49328221263238,477679.9146440531,0.02727246202811897,"[1.0988222614174747, 4056.1716733313424, 0.5969005838591523, -0.04862734990437995, -0.00996543296374175]",A2780Naive,20k/30k,,2,28,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,0.0655402869394095,2
adaptation_theta_logistic_growth,partial_5pct,true,false,-177.1821757128049,429011.01633691194,0.02448305189195133,"[1.9995104960351373, 4063.1012208542434, 0.30775028462009957, 1.4617139829722596, -0.04445469965900895, -0.010487974346024206]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,0.3766467867668837,3
logistic_growth,partial_5pct,true,false,-174.35978772559204,602046.0043453092,0.03435663976964795,"[0.8740376514495526, 3980.8599316721193, -0.048790081619095184, -0.012308682557627425]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,3.199034773979747,4
lagged_theta_logistic_growth,partial_5pct,true,false,-172.97693058275607,498406.52179338783,0.028450577090299096,"[1.141970256280119, 4038.1387380189717, 0.5960676337507468, 0.15449956838660675, -0.03487740695284158, -0.013029743202787658]",A2780Naive,20k/30k,,2,28,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,4.581891916815721,5
adaptation_theta_logistic_growth,shared,true,false,-186.40564973620323,1.067310195491836e6,0.06125819520106276,"[1.3033401811989338, 3819.019651355322, 0.9738231812965199, 0.21127164965197726]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,0.0,1
baranyi_theta_logistic_growth,shared,true,false,-186.03680107220023,1.0796952661988735e6,0.06196837414242568,"[0.8409304462110382, 3821.135954881842, 1.2620476371285276, 0.1742509249371738]",A2780cis,20k/30k,,2,32,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,0.36884866400299643,2
lagged_theta_logistic_growth,shared,true,false,-185.70416306289172,1.0909767803860137e6,0.06261589115557804,"[0.7413830717660111, 3820.3074446792393, 1.4586336200366865, 1.8205028950402544]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,0.701486673311507,3
theta_logistic_growth,shared,true,false,-181.56937165339986,1.3836236655313168e6,0.07940295440768495,"[0.48688247139575735, 3802.772131307019, 3.082890807249316]",A2780cis,20k/30k,,2,32,3,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,4.836278082803375,4
theta_logistic_growth,partial_5pct,true,false,-180.0963252951401,1.1665738362715892e6,0.06695091784788307,"[0.4806166381092475, 3796.646019881629, 3.5540722532991245, -0.033179259744015116, -0.0006331618974403305]",A2780cis,20k/30k,,2,32,5,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds,6.309324441063126,5
