time,count,replicate,source_file,condition,density,cell_line,dose,mix
1.0,102.98206,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
2.0,179.641667,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
3.0,325.496759,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
4.0,635.751968,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
5.0,1166.639005,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
6.0,1930.467477,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
7.0,2704.346759,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
8.0,3217.967708,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
9.0,3820.144329,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
10.0,3470.754051,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
11.0,4200.269907,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
12.0,3598.218056,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
13.0,4096.906597,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
14.0,3743.41956,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
16.0,3468.14294,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
18.0,4087.085532,1,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B4
1.0,60.657176,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
2.0,115.033796,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
3.0,208.982176,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
4.0,429.734375,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
5.0,789.190509,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
6.0,1673.607986,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
7.0,2302.454282,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
8.0,3097.737731,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
9.0,3676.346991,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
10.0,3492.914352,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
11.0,4177.122801,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
12.0,3477.032292,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
13.0,4139.838657,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
14.0,3624.434028,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
16.0,3919.684954,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
18.0,3418.522454,2,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B5
1.0,77.680324,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
2.0,125.908218,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
3.0,204.058102,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
4.0,447.31956,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
5.0,797.939583,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
6.0,1518.37963,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
7.0,2411.976505,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
8.0,3240.972338,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
9.0,3788.472685,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
10.0,3567.205903,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
11.0,4158.058681,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
12.0,3486.886227,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
13.0,4184.87662,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
14.0,3828.251505,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
16.0,3760.609028,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
18.0,3448.148727,3,A2780cis_sample_averages.csv,monoculture_untreated,30k,A2780cis,0.0,B6
