cell_line,density,time,mean_count
A2780Naive,20k,1.0,280.6765433333333
A2780Naive,20k,2.0,415.7101466666666
A2780Naive,20k,3.0,908.8381946666667
A2780Naive,20k,4.0,1701.1216823333332
A2780Naive,20k,5.0,2629.3940586666668
A2780Naive,20k,6.0,3264.7935765
A2780Naive,20k,7.0,3641.570756333333
A2780Naive,20k,8.0,3601.847184
A2780Naive,20k,9.0,3866.1673996666664
A2780Naive,20k,10.0,3884.2516586666666
A2780Naive,20k,11.0,4153.039699
A2780Naive,20k,12.0,3981.5291666666667
A2780Naive,20k,13.0,4213.666204
A2780Naive,20k,14.0,4195.749691333333
A2780Naive,30k,1.0,246.85030866666668
A2780Naive,30k,2.0,386.6241513333334
A2780Naive,30k,3.0,921.0547066666668
A2780Naive,30k,4.0,1594.845139
A2780Naive,30k,5.0,2628.855208333333
A2780Naive,30k,6.0,3034.912075666667
A2780Naive,30k,7.0,3462.9069443333333
A2780Naive,30k,8.0,3405.0643130000003
A2780Naive,30k,9.0,3755.2344136666666
A2780Naive,30k,10.0,3652.791281
A2780Naive,30k,11.0,4085.137268666667
A2780Naive,30k,12.0,4010.5481483333333
A2780Naive,30k,13.0,4137.956713
A2780Naive,30k,14.0,4169.734799333333
A2780cis,20k,1.0,67.71979166666667
A2780cis,20k,2.0,107.027392
A2780cis,20k,3.0,202.73946733333332
A2780cis,20k,4.0,377.4440583333333
A2780cis,20k,5.0,752.2716819999999
A2780cis,20k,6.0,1296.4337189999999
A2780cis,20k,7.0,2096.342901
A2780cis,20k,8.0,3102.8925926666666
A2780cis,20k,9.0,3584.2155863333332
A2780cis,20k,10.0,3430.9415896666665
A2780cis,20k,11.0,4001.2577933333328
A2780cis,20k,12.0,3726.2816356666667
A2780cis,20k,13.0,4170.573688
A2780cis,20k,14.0,3349.448611
A2780cis,20k,16.0,3744.941358
A2780cis,20k,18.0,4091.923804
A2780cis,30k,1.0,80.43985333333335
A2780cis,30k,2.0,140.19456033333336
A2780cis,30k,3.0,246.1790123333333
A2780cis,30k,4.0,504.2686343333333
A2780cis,30k,5.0,917.9230323333333
A2780cis,30k,6.0,1707.4850310000002
A2780cis,30k,7.0,2472.925848666667
A2780cis,30k,8.0,3185.559259
A2780cis,30k,9.0,3761.654668333333
A2780cis,30k,10.0,3510.291435333333
A2780cis,30k,11.0,4178.483796333333
A2780cis,30k,12.0,3520.712191666667
A2780cis,30k,13.0,4140.540624666667
A2780cis,30k,14.0,3732.035031
A2780cis,30k,16.0,3716.145640666667
A2780cis,30k,18.0,3651.252237666666
