cell_line,model,pooling_mode,parameter,estimate,lower_bound,upper_bound,bound_position,identifiability
A2780Naive,logistic_growth,shared,r,0.8794175360995109,0.0001,2.0,0.4396807520873598,interior
A2780Naive,logistic_growth,shared,K,3971.257351640803,3160.249653,12640.998612,0.08554257708415745,interior
A2780Naive,logistic_growth,partial_5pct,r,0.8740376514495526,0.0001,2.0,0.43699067525853924,interior
A2780Naive,logistic_growth,partial_5pct,K,3980.8599316721193,3160.249653,12640.998612,0.08655542744786218,interior
A2780Naive,logistic_growth,partial_5pct,log_contrast_r,-0.048790081619095184,-0.04879016416943205,0.04879016416943205,8.459731410019287e-7,poorly_identified_at_bound
A2780Naive,logistic_growth,partial_5pct,log_contrast_K,-0.012308682557627425,-0.04879016416943205,0.04879016416943205,0.37386102540172383,interior
A2780Naive,logistic_growth,independent_diagnostic,r_20k,0.9310485964079501,0.0001,2.0,0.4654975730826292,interior
A2780Naive,logistic_growth,independent_diagnostic,K_20k,4015.771915676037,3160.249653,12640.998612,0.0902378352570866,interior
A2780Naive,logistic_growth,independent_diagnostic,r_30k,0.8182458995972091,0.0001,2.0,0.40909340446882797,interior
A2780Naive,logistic_growth,independent_diagnostic,K_30k,3950.2333598553205,3160.249653,12640.998612,0.08332503162689434,interior
A2780Naive,gompertz_growth,shared,r,0.3898455314631999,0.0001,2.0,0.1948825098570928,interior
A2780Naive,gompertz_growth,shared,K,4267.333223594454,3160.249653,12640.998612,0.11677174191428283,interior
A2780Naive,gompertz_growth,partial_5pct,r,0.3878937028341956,0.0001,2.0,0.19390654674443503,interior
A2780Naive,gompertz_growth,partial_5pct,K,4278.136693366976,3160.249653,12640.998612,0.11791125840388114,interior
A2780Naive,gompertz_growth,partial_5pct,log_contrast_r,-0.04877819859524152,-0.04879016416943205,0.04879016416943205,0.00012262281132093198,poorly_identified_at_bound
A2780Naive,gompertz_growth,partial_5pct,log_contrast_K,-0.002875354463666435,-0.04879016416943205,0.04879016416943205,0.47053346189119916,interior
A2780Naive,gompertz_growth,independent_diagnostic,r_20k,0.4074405219836674,0.0001,2.0,0.20368044501408442,interior
A2780Naive,gompertz_growth,independent_diagnostic,K_20k,4289.719163289626,3160.249653,12640.998612,0.11913294141360312,interior
A2780Naive,gompertz_growth,independent_diagnostic,r_30k,0.36924383296659113,0.0001,2.0,0.1845811455405726,interior
A2780Naive,gompertz_growth,independent_diagnostic,K_30k,4266.715719514934,3160.249653,12640.998612,0.11670660949888083,interior
A2780Naive,theta_logistic_growth,shared,r,1.245585305996265,0.0001,2.0,0.6227737916877168,interior
A2780Naive,theta_logistic_growth,shared,K,4074.748731074681,3160.249653,12640.998612,0.09645852685578753,interior
A2780Naive,theta_logistic_growth,shared,theta,0.4842946372094419,0.1,8.0,0.0486448907860053,interior
A2780Naive,theta_logistic_growth,partial_5pct,r,1.0988222614174747,0.0001,2.0,0.5493886001387444,interior
A2780Naive,theta_logistic_growth,partial_5pct,K,4056.1716733313424,3160.249653,12640.998612,0.0944990764132459,interior
A2780Naive,theta_logistic_growth,partial_5pct,theta,0.5969005838591523,0.1,8.0,0.06289880808343701,interior
A2780Naive,theta_logistic_growth,partial_5pct,log_contrast_r,-0.04862734990437995,-0.04879016416943205,0.04879016416943205,0.0016685152409684015,poorly_identified_at_bound
A2780Naive,theta_logistic_growth,partial_5pct,log_contrast_K,-0.00996543296374175,-0.04879016416943205,0.04879016416943205,0.3978745702808551,interior
A2780Naive,theta_logistic_growth,independent_diagnostic,r_20k,1.1347809335587846,0.0001,2.0,0.5673688352211533,interior
A2780Naive,theta_logistic_growth,independent_diagnostic,K_20k,4078.911092908608,3160.249653,12640.998612,0.09689755987437366,interior
A2780Naive,theta_logistic_growth,independent_diagnostic,theta_20k,0.6278434455936928,0.1,8.0,0.06681562602451807,interior
A2780Naive,theta_logistic_growth,independent_diagnostic,r_30k,1.0635902969147004,0.0001,2.0,0.5317717370442024,interior
A2780Naive,theta_logistic_growth,independent_diagnostic,K_30k,4037.902257240596,3160.249653,12640.998612,0.0925720750582102,interior
A2780Naive,theta_logistic_growth,independent_diagnostic,theta_30k,0.5674302050181618,0.1,8.0,0.0591683803820458,interior
A2780Naive,lagged_theta_logistic_growth,shared,r,1.9999935647447502,0.0001,2.0,0.9999967822114857,poorly_identified_at_bound
A2780Naive,lagged_theta_logistic_growth,shared,K,4061.200369223806,3160.249653,12640.998612,0.09502948766178863,interior
A2780Naive,lagged_theta_logistic_growth,shared,theta,0.30427501389031086,0.1,8.0,0.025857596694976056,interior
A2780Naive,lagged_theta_logistic_growth,shared,lag_time,0.6429250361729503,0.0,5.0,0.12858500723459004,interior
A2780Naive,lagged_theta_logistic_growth,partial_5pct,r,1.141970256280119,0.0001,2.0,0.5709636763238757,interior
A2780Naive,lagged_theta_logistic_growth,partial_5pct,K,4038.1387380189717,3160.249653,12640.998612,0.09259701831737657,interior
A2780Naive,lagged_theta_logistic_growth,partial_5pct,theta,0.5960676337507468,0.1,8.0,0.06279337136085403,interior
A2780Naive,lagged_theta_logistic_growth,partial_5pct,lag_time,0.15449956838660675,0.0,5.0,0.03089991367732135,interior
A2780Naive,lagged_theta_logistic_growth,partial_5pct,log_contrast_r,-0.03487740695284158,-0.04879016416943205,0.04879016416943205,0.14257747902093623,interior
A2780Naive,lagged_theta_logistic_growth,partial_5pct,log_contrast_K,-0.013029743202787658,-0.04879016416943205,0.04879016416943205,0.3664716195918128,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,r_20k,1.343534521171271,0.0001,2.0,0.6717508481280419,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,K_20k,4086.8336429050487,3160.249653,12640.998612,0.09773320587984242,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,theta_20k,0.505489905930175,0.1,8.0,0.051327836193693036,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,lag_time_20k,0.2073115292576506,0.0,5.0,0.041462305851530115,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,r_30k,1.162220966453144,0.0001,2.0,0.5810895377034572,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,K_30k,4017.81738452386,3160.249653,12640.998612,0.0904535849680713,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,theta_30k,0.5431718388000188,0.1,8.0,0.05609770111392644,interior
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,lag_time_30k,0.27187284866587824,0.0,5.0,0.05437456973317565,interior
A2780Naive,baranyi_theta_logistic_growth,shared,r,1.9997950822916306,0.0001,2.0,0.9998975360226164,poorly_identified_at_bound
A2780Naive,baranyi_theta_logistic_growth,shared,K,4056.315747980492,3160.249653,12640.998612,0.09451427296045672,interior
A2780Naive,baranyi_theta_logistic_growth,shared,theta,0.3088156909092428,0.1,8.0,0.026432365937878836,interior
A2780Naive,baranyi_theta_logistic_growth,shared,q0,0.3405652210512167,0.0001,10.0,0.03404686257374741,interior
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,r,1.972276312271744,0.0001,2.0,0.9861374630090224,poorly_identified_at_bound
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,K,4067.8313326049256,3160.249653,12640.998612,0.09572890111633697,interior
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,theta,0.3078701226100252,0.1,8.0,0.026312673748104455,interior
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,q0,0.3917239510595033,0.0001,10.0,0.03916278673381767,interior
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,log_contrast_r,-0.042694092844672654,-0.04879016416943205,0.04879016416943205,0.06247233872374114,interior
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,log_contrast_K,-0.008530711473958848,-0.04879016416943205,0.04879016416943205,0.41257754898779886,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,r_20k,0.9754260631062032,0.0001,2.0,0.4876874159238978,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,K_20k,4029.3432853296495,3160.249653,12640.998612,0.09166930124277005,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,theta_20k,0.9125832335278342,0.1,8.0,0.10285863715542205,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,q0_20k,9.992106485254846,0.0001,10.0,0.9992106406318909,poorly_identified_at_bound
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,r_30k,1.086079743306029,0.0001,2.0,0.5430170225041397,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,K_30k,4028.2163719190125,3160.249653,12640.998612,0.09155043791082125,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,theta_30k,0.570011089014531,0.1,8.0,0.059495074558801396,interior
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,q0_30k,8.360442777585588,0.0001,10.0,0.8360426381849406,interior
A2780Naive,adaptation_theta_logistic_growth,shared,r,1.9999960979739335,0.0001,2.0,0.9999980488894112,poorly_identified_at_bound
A2780Naive,adaptation_theta_logistic_growth,shared,K,4055.707690919714,3160.249653,12640.998612,0.09445013698729601,interior
A2780Naive,adaptation_theta_logistic_growth,shared,theta,0.30937323182434995,0.1,8.0,0.026502940737259485,interior
A2780Naive,adaptation_theta_logistic_growth,shared,adaptation_rate,1.4438324223473193,0.01,5.0,0.28734116680307,interior
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,r,1.9995104960351373,0.0001,2.0,0.9997552357793577,poorly_identified_at_bound
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,K,4063.1012208542434,3160.249653,12640.998612,0.09522998359714753,interior
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,theta,0.30775028462009957,0.1,8.0,0.026297504382291084,interior
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,adaptation_rate,1.4617139829722596,0.01,5.0,0.29092464588622435,interior
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,log_contrast_r,-0.04445469965900895,-0.04879016416943205,0.04879016416943205,0.044429697913778966,interior
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,log_contrast_K,-0.010487974346024206,-0.04879016416943205,0.04879016416943205,0.3925195833569759,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,r_20k,1.2707564407762453,0.0001,2.0,0.635359988387542,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,K_20k,4074.091737982132,3160.249653,12640.998612,0.09638922926174827,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,theta_20k,0.562399347871217,0.1,8.0,0.05853156302167304,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,adaptation_rate_20k,4.197407569051524,0.01,5.0,0.8391598334772594,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,r_30k,1.5654886046795187,0.0001,2.0,0.7827334390117099,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,K_30k,4059.154006040015,3160.249653,12640.998612,0.09481364361901937,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,theta_30k,0.3566987911117192,0.1,8.0,0.032493517862242936,interior
A2780Naive,adaptation_theta_logistic_growth,independent_diagnostic,adaptation_rate_30k,2.6770609093246183,0.01,5.0,0.5344811441532301,interior
A2780Naive,logistic_simple_death,shared,r,0.8808923852115551,0.0001,2.0,0.4404182135164534,interior
A2780Naive,logistic_simple_death,shared,K,3977.5598394951908,3160.249653,12640.998612,0.08620734395876233,interior
A2780Naive,logistic_simple_death,shared,death_rate,0.0014168593577407048,0.0,2.0,0.0007084296788703524,poorly_identified_at_bound
A2780Naive,logistic_simple_death,partial_5pct,r,0.8890340870211592,0.0001,2.0,0.4444892679739783,interior
A2780Naive,logistic_simple_death,partial_5pct,K,4049.770358537195,3160.249653,12640.998612,0.09382388557950162,interior
A2780Naive,logistic_simple_death,partial_5pct,death_rate,0.014929366788743794,0.0,2.0,0.007464683394371897,poorly_identified_at_bound
A2780Naive,logistic_simple_death,partial_5pct,log_contrast_r,-0.04879016416942292,-0.04879016416943205,0.04879016416943205,9.358017679373808e-14,poorly_identified_at_bound
A2780Naive,logistic_simple_death,partial_5pct,log_contrast_K,-0.011546126192195028,-0.04879016416943205,0.04879016416943205,0.3816756779901461,interior
A2780Naive,logistic_simple_death,independent_diagnostic,r_20k,0.9362143127012067,0.0001,2.0,0.4680805603786223,interior
A2780Naive,logistic_simple_death,independent_diagnostic,K_20k,4038.058955999173,3160.249653,12640.998612,0.09258860315733557,interior
A2780Naive,logistic_simple_death,independent_diagnostic,death_rate_20k,0.005149259912925744,0.0,2.0,0.002574629956462872,poorly_identified_at_bound
