cell_line,model,pooling_mode,start_index,status,bic,scaled_sse,raw_sse,params,message
A2780Naive,logistic_growth,shared,1,completed,-165.51923934934328,0.05977238565466196,1.0482842167177987e6,"[0.8794355581858506, 3971.3132918302044]",
A2780Naive,logistic_growth,partial_5pct,1,completed,-172.01323823081026,0.03736000086834847,654763.6509339227,"[0.875275469082905, 3978.160626454801, -0.03644352503472923, -0.022539017623499115]",
A2780Naive,logistic_growth,independent_diagnostic,1,completed,-175.23458124684652,0.033299842649831095,583495.5172835839,"[0.931050117654666, 4015.796386266425, 0.8182131723072708, 3950.4350613539664]",
A2780Naive,gompertz_growth,shared,1,completed,-162.1403051079141,0.06743876485907979,1.1841496773049799e6,"[0.3898315542143298, 4267.430385169562]",
A2780Naive,gompertz_growth,partial_5pct,1,completed,-157.27638569734933,0.06323872169040053,1.110135217891433e6,"[0.39149519013081574, 4259.189896830857, 0.01083878590734412, -0.01998961097181693]",
A2780Naive,gompertz_growth,independent_diagnostic,1,completed,-161.4301251063203,0.05452007391007084,957246.5698423136,"[0.4074885208693, 4289.621118031965, 0.3692448040262318, 4266.733090948303]",
A2780Naive,theta_logistic_growth,shared,1,completed,-168.54730252811527,0.04762659665701913,835180.0373066007,"[1.245585305996265, 4074.748731074681, 0.4842946372094419]",
A2780Naive,theta_logistic_growth,partial_5pct,1,completed,-163.5711677213202,0.044839787129809267,785643.3960857167,"[1.2906975626191597, 4097.998533593987, 0.45860826422349654, 0.0027017394084180163, -0.0076558172572449845]",
A2780Naive,theta_logistic_growth,independent_diagnostic,1,completed,-174.42465379541954,0.027016939124904868,473186.9758245989,"[1.0892874331760787, 4067.5603293421946, 0.6809628301745595, 1.131259889051006, 4053.774097184121, 0.5116376919013561]",
A2780Naive,lagged_theta_logistic_growth,shared,1,completed,-169.93162119275868,0.04024332301381265,705992.8886544344,"[1.8294399507976244, 4058.9662440089282, 0.33683807484931455, 0.5921684497382017]",
A2780Naive,lagged_theta_logistic_growth,shared,2,completed,-168.90612383994326,0.041744554335255424,732089.9712476106,"[1.610258658404009, 4072.1950908306826, 0.37908335750909317, 0.419900868535982]",
A2780Naive,lagged_theta_logistic_growth,shared,3,completed,-170.31856551016557,0.0396910079620081,696397.7991228844,"[1.9687161086643277, 4061.8397849446665, 0.30773854549176227, 0.6222142006927357]",
A2780Naive,lagged_theta_logistic_growth,partial_5pct,1,completed,-162.3203868963111,0.04162742857239068,730229.5622647391,"[1.619201283832941, 4055.5062898655324, 0.3871387774744912, 0.4956271535115666, 2.501110307769061e-5, 0.0002982076733583569]",
A2780Naive,lagged_theta_logistic_growth,partial_5pct,2,completed,-158.6227413267983,0.047504196809406284,833093.1658407734,"[1.2561258569453977, 4071.562667156818, 0.48475319365978287, 0.04164732118164546, 0.0005601411551329274, 0.00032038169860539034]",
A2780Naive,lagged_theta_logistic_growth,partial_5pct,3,completed,-166.21411201213755,0.03622312327461321,634564.4138493226,"[1.3013309005938793, 4079.589469236429, 0.4540106469879718, 5.449455679983201e-5, -0.008301832097556743, -0.023084191774448405]",
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,1,completed,-168.34409676364825,0.026459418650064633,463531.7171697001,"[1.306974724465173, 4060.608489014309, 0.5536500887798342, 0.3269248339785659, 1.1211665919337823, 4013.255471536611, 0.5777844270060095, 0.2870304482165559]",
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,2,completed,-166.77800572987246,0.027981512106524636,489906.12693591276,"[1.2286307108878447, 4072.398910356679, 0.5690810586262844, 0.12377764169941187, 0.998739120407872, 3972.32627374831, 0.7375671485791353, 0.29924431193714823]",
A2780Naive,lagged_theta_logistic_growth,independent_diagnostic,3,completed,-164.8257073813422,0.030002147163036307,526524.5814421151,"[1.156777028765057, 4055.2359536253357, 0.7392662800593668, 0.4747506822895174, 1.4924184878608466, 4034.325063225945, 0.372598441190769, 0.27273486835050126]",
A2780Naive,baranyi_theta_logistic_growth,shared,1,completed,-170.37775783545322,0.03960718933805761,695116.5714478558,"[1.8625976685181507, 4050.885010164523, 0.3338372348647961, 0.42768000768151637]",
A2780Naive,baranyi_theta_logistic_growth,shared,2,completed,-170.06800131793722,0.04004778569580703,702484.2545459575,"[1.7674206323160346, 4053.2351753578037, 0.3572054169794301, 0.4973529521947167]",
A2780Naive,baranyi_theta_logistic_growth,shared,3,completed,-170.51382824114577,0.03941517889977921,691461.4139699482,"[1.8898655603144943, 4049.5592862765484, 0.3290082841650366, 0.4179050570133124]",
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,1,completed,-160.63552878379477,0.04420919480443106,775681.9370093099,"[1.402639024875881, 4041.8169656983473, 0.4580011828572118, 1.5051050125581729, 0.0022144242185990065, -0.0005168805342602723]",
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,2,completed,-162.60525472078749,0.04120606440443872,723019.6590503416,"[1.8355880920879817, 4047.665745308138, 0.3410315845481188, 0.44904964367970407, 0.0016542617284659375, 0.0008648481832894753]",
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,3,completed,-159.60507809281054,0.04586648174455178,804814.048759048,"[1.2915389899239422, 4061.9980877927055, 0.48623642534658973, 3.519746809566707, -0.0023365436853087992, 0.0028855067894938413]",
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,1,completed,-163.3834847092448,0.031587987432456936,553576.9043694134,"[1.0139776946630419, 4029.0032872056654, 0.8701081933649876, 4.765515598350149, 1.1088909349939942, 3961.713552617886, 0.6622675294749152, 1.0793467059678683]",
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,2,completed,-143.95530617929802,0.06322124645251662,1.1087140597906434e6,"[1.3711010983620266, 3950.253392232369, 0.7980550539964373, 0.23770997433521532, 0.8104451695642085, 3753.32797207696, 1.3289424652850168, 3.43201809464535]",
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,3,completed,-164.3450738110281,0.030521594084138213,535241.5535798584,"[0.9744634486072694, 4042.3842586853284, 0.8995934079632237, 8.265781964555746, 1.0082702880638497, 4005.937384019585, 0.6916293148418008, 3.656172183115446]",
A2780Naive,adaptation_theta_logistic_growth,shared,1,completed,-170.5489485239857,0.03936577159797317,690733.6173086315,"[1.9324508843661954, 4051.908739943446, 0.3207864196271018, 1.4904896962530416]",
A2780Naive,adaptation_theta_logistic_growth,shared,2,completed,-170.63420159971392,0.039246094843948115,688374.6934256089,"[1.9538277666784627, 4052.141307524395, 0.3171124378051664, 1.4970829786461177]",
A2780Naive,adaptation_theta_logistic_growth,shared,3,completed,-167.23472644983073,0.04431227699108126,777117.30994271,"[1.4892502706952733, 4080.3336455203007, 0.39425659401169977, 4.9998740155253385]",
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,1,completed,-162.08777781161018,0.04197468749843244,736180.4639982542,"[1.7963470028008306, 4049.7822693556923, 0.35151977971705517, 1.5904752825925694, 0.0011353187800447403, 0.001980135089438069]",
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,2,completed,-162.70555282042608,0.0410587252393336,720285.7752523639,"[1.8754849860495657, 4045.6308201879374, 0.3371053821149733, 1.4628413727719543, 0.0011426494158696052, 0.0012663152935806984]",
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,3,completed,-160.32147362518975,0.04470784771764266,783935.8697464638,"[1.4315316245923202, 4042.3479308895808, 0.457850674560894, 2.3423586386163464, -0.00919662464326803, 0.008619802387894365]",
