model,pooling_mode,eligible_for_inheritance,diagnostic_model,bic,ssr,scaled_ssr,params,cell_line,density,mix,n_densities,n_points,parameter_count,boundary_issue,accepted_boundary_expansions,package_api
baranyi_theta_logistic_growth,partial_5pct,true,false,-177.5588224995718,423284.1635631907,0.024155919107992897,"[1.972276312271744, 4067.8313326049256, 0.3078701226100252, 0.3917239510595033, -0.042694092844672654, -0.008530711473958848]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
theta_logistic_growth,partial_5pct,true,false,-177.49328221263238,477679.9146440531,0.02727246202811897,"[1.0988222614174747, 4056.1716733313424, 0.5969005838591523, -0.04862734990437995, -0.00996543296374175]",A2780Naive,20k/30k,,2,28,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
adaptation_theta_logistic_growth,partial_5pct,true,false,-177.1821757128049,429011.01633691194,0.02448305189195133,"[1.9995104960351373, 4063.1012208542434, 0.30775028462009957, 1.4617139829722596, -0.04445469965900895, -0.010487974346024206]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_growth,independent_diagnostic,false,false,-175.2345848644254,583495.4428610908,0.03329983834751681,"[0.9310485964079501, 4015.771915676037, 0.8182458995972091, 3950.2333598553205]",A2780Naive,20k/30k,,2,28,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
theta_logistic_growth,independent_diagnostic,false,false,-174.63568953690677,469628.9950784803,0.026814078145135874,"[1.1347809335587846, 4078.911092908608, 0.6278434455936928, 1.0635902969147004, 4037.902257240596, 0.5674302050181618]",A2780Naive,20k/30k,,2,28,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_growth,partial_5pct,true,false,-174.35978772559204,602046.0043453092,0.03435663976964795,"[0.8740376514495526, 3980.8599316721193, -0.048790081619095184, -0.012308682557627425]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
lagged_theta_logistic_growth,partial_5pct,true,false,-172.97693058275607,498406.52179338783,0.028450577090299096,"[1.141970256280119, 4038.1387380189717, 0.5960676337507468, 0.15449956838660675, -0.03487740695284158, -0.013029743202787658]",A2780Naive,20k/30k,,2,28,6,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_simple_death,partial_5pct,false,true,-171.11461208452607,600171.698188073,0.03425001914229719,"[0.8890340870211592, 4049.770358537195, 0.014929366788743794, -0.04879016416942292, -0.011546126192195028]",A2780Naive,20k/30k,,2,28,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
baranyi_theta_logistic_growth,shared,true,false,-170.87088978654353,682568.2807505338,0.038915739972484965,"[1.9997950822916306, 4056.315747980492, 0.3088156909092428, 0.3405652210512167]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
adaptation_theta_logistic_growth,shared,true,false,-170.7827393052122,684725.0910475869,0.0390384487865072,"[1.9999960979739335, 4055.707690919714, 0.30937323182434995, 1.4438324223473193]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
lagged_theta_logistic_growth,shared,true,false,-170.4117674303516,693913.5016957675,0.03955911052632583,"[1.9999935647447502, 4061.200369223806, 0.30427501389031086, 0.6429250361729503]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
adaptation_theta_logistic_growth,independent_diagnostic,false,false,-169.6759489142495,442072.07466272695,0.025230309742025343,"[1.2707564407762453, 4074.091737982132, 0.562399347871217, 4.197407569051524, 1.5654886046795187, 4059.154006040015, 0.3566987911117192, 2.6770609093246183]",A2780Naive,20k/30k,,2,28,8,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
lagged_theta_logistic_growth,independent_diagnostic,false,false,-168.9908864911597,452907.765929853,0.025855221024346776,"[1.343534521171271, 4086.8336429050487, 0.505489905930175, 0.2073115292576506, 1.162220966453144, 4017.81738452386, 0.5431718388000188, 0.27187284866587824]",A2780Naive,20k/30k,,2,28,8,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_simple_death,independent_diagnostic,false,true,-168.57017283752418,583495.5049259375,0.0332998419231476,"[0.9362143127012067, 4038.058955999173, 0.005149259912925744, 0.8233958936599777, 3975.406203593518, 0.005176206775389223]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
theta_logistic_growth,shared,true,false,-168.54730252811527,835180.0373066007,0.04762659665701913,"[1.245585305996265, 4074.748731074681, 0.4842946372094419]",A2780Naive,20k/30k,,2,28,3,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
baranyi_theta_logistic_growth,independent_diagnostic,false,false,-165.7261439375955,509494.2955171984,0.029052673288502057,"[0.9754260631062032, 4029.3432853296495, 0.9125832335278342, 9.992106485254846, 1.086079743306029, 4028.2163719190125, 0.570011089014531, 8.360442777585588]",A2780Naive,20k/30k,,2,28,8,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_growth,shared,true,false,-165.51924345852368,1.0482886525050404e6,0.05977237688267991,"[0.8794175360995109, 3971.257351640803]",A2780Naive,20k/30k,,2,28,2,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
logistic_simple_death,shared,false,true,-162.18704299820718,1.0482828581669057e6,0.059772368237334804,"[0.8808923852115551, 3977.5598394951908, 0.0014168593577407048]",A2780Naive,20k/30k,,2,28,3,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,shared,true,false,-162.14030692396568,1.1841492037462278e6,0.06743876048507011,"[0.3898455314631999, 4267.333223594454]",A2780Naive,20k/30k,,2,28,2,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,independent_diagnostic,false,false,-161.43012679283413,957246.5116959831,0.05452007062618313,"[0.4074405219836674, 4289.719163289626, 0.36924383296659113, 4266.715719514934]",A2780Naive,20k/30k,,2,28,4,false,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
gompertz_growth,partial_5pct,true,false,-161.4299081444386,957253.9884769008,0.05452049636805856,"[0.3878937028341956, 4278.136693366976, -0.04877819859524152, -0.002875354463666435]",A2780Naive,20k/30k,,2,28,4,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,independent_diagnostic,false,true,-90.6499753632618,9.420570923305862e6,0.5383004413334914,"[0.7399681196843032, 3742.2497536306073, 63.250166576823624, 1.0375830539150501, 3160.2497144024455, 98.46522656057446]",A2780Naive,20k/30k,,2,28,6,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,partial_5pct,false,true,-78.7168770741911,1.6225937072846904e7,0.9285332876248084,"[0.3070313716587364, 3551.9457236348594, 50.51435866385639, 0.04371204886804869, -0.048055950354368424]",A2780Naive,20k/30k,,2,28,5,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
allee_growth,shared,false,true,-50.426318901593845,5.6851344313114375e7,3.235691424586319,"[1.9907003013650046, 3160.249653000887, 7.622991422933451e-5]",A2780Naive,20k/30k,,2,28,3,true,0,GrowthParameterEstimation.run_joint_multistart/profile_joint_fit_bounds
