cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780Naive,logistic_growth,shared,20k,r,0.8794175360995109,0.8794175360995109,0.0,shared_across_densities
A2780Naive,logistic_growth,shared,30k,r,0.8794175360995109,0.8794175360995109,0.0,shared_across_densities
A2780Naive,logistic_growth,shared,20k,K,3971.257351640803,3971.257351640803,0.0,shared_across_densities
A2780Naive,logistic_growth,shared,30k,K,3971.257351640803,3971.257351640803,0.0,shared_across_densities
A2780Naive,logistic_growth,partial_5pct,20k,r,0.8740376514495526,0.9177394582623256,4.999991332214981,partial_5pct
A2780Naive,logistic_growth,partial_5pct,30k,r,0.8740376514495526,0.8324168796206267,-4.761896899967599,partial_5pct
A2780Naive,logistic_growth,partial_5pct,20k,K,3980.8599316721193,4030.161871389699,1.238474615128471,partial_5pct
A2780Naive,logistic_growth,partial_5pct,30k,K,3980.8599316721193,3932.16111444378,-1.2233240572190551,partial_5pct
A2780Naive,logistic_growth,independent_diagnostic,20k,r,0.8728268421265136,0.9310485964079501,6.670481643253301,independent_diagnostic
A2780Naive,logistic_growth,independent_diagnostic,30k,r,0.8728268421265136,0.8182458995972091,-6.253352886848229,independent_diagnostic
A2780Naive,logistic_growth,independent_diagnostic,20k,K,3982.86783447224,4015.771915676037,0.8261404237170034,independent_diagnostic
A2780Naive,logistic_growth,independent_diagnostic,30k,K,3982.86783447224,3950.2333598553205,-0.8193712664644193,independent_diagnostic
A2780Naive,gompertz_growth,shared,20k,r,0.3898455314631999,0.3898455314631999,0.0,shared_across_densities
A2780Naive,gompertz_growth,shared,30k,r,0.3898455314631999,0.3898455314631999,0.0,shared_across_densities
A2780Naive,gompertz_growth,shared,20k,K,4267.333223594454,4267.333223594454,0.0,shared_across_densities
A2780Naive,gompertz_growth,shared,30k,K,4267.333223594454,4267.333223594454,0.0,shared_across_densities
A2780Naive,gompertz_growth,partial_5pct,20k,r,0.3878937028341956,0.40728351456563877,4.9987436222266535,partial_5pct
A2780Naive,gompertz_growth,partial_5pct,30k,r,0.3878937028341956,0.36942699450746985,-4.760765176592541,partial_5pct
A2780Naive,gompertz_growth,partial_5pct,20k,K,4278.136693366976,4290.455554863771,0.28794922602390916,partial_5pct
A2780Naive,gompertz_growth,partial_5pct,30k,K,4278.136693366976,4265.853202088247,-0.287122459125122,partial_5pct
A2780Naive,gompertz_growth,independent_diagnostic,20k,r,0.3878722728465622,0.4074405219836674,5.045023969745355,independent_diagnostic
A2780Naive,gompertz_growth,independent_diagnostic,30k,r,0.3878722728465622,0.36924383296659113,-4.802725325854961,independent_diagnostic
A2780Naive,gompertz_growth,independent_diagnostic,20k,K,4278.20198054186,4289.719163289626,0.26920614781975605,independent_diagnostic
A2780Naive,gompertz_growth,independent_diagnostic,30k,K,4278.20198054186,4266.715719514934,-0.2684833740708936,independent_diagnostic
A2780Naive,theta_logistic_growth,shared,20k,r,1.245585305996265,1.245585305996265,0.0,shared_across_densities
A2780Naive,theta_logistic_growth,shared,30k,r,1.245585305996265,1.245585305996265,0.0,shared_across_densities
A2780Naive,theta_logistic_growth,shared,20k,K,4074.748731074681,4074.748731074681,0.0,shared_across_densities
A2780Naive,theta_logistic_growth,shared,30k,K,4074.748731074681,4074.748731074681,0.0,shared_across_densities
A2780Naive,theta_logistic_growth,shared,20k,theta,0.4842946372094419,0.4842946372094419,0.0,shared_across_densities
A2780Naive,theta_logistic_growth,shared,30k,theta,0.4842946372094419,0.4842946372094419,0.0,shared_across_densities
A2780Naive,theta_logistic_growth,partial_5pct,20k,r,1.0988222614174747,1.1535755406439168,4.982905893789469,partial_5pct
A2780Naive,theta_logistic_growth,partial_5pct,30k,r,1.0988222614174747,1.0466677904011785,-4.7463973790462965,partial_5pct
A2780Naive,theta_logistic_growth,partial_5pct,20k,K,4056.1716733313424,4096.795259852484,1.0015253246857148,partial_5pct
A2780Naive,theta_logistic_growth,partial_5pct,30k,K,4056.1716733313424,4015.9509079611653,-0.9915942570829062,partial_5pct
A2780Naive,theta_logistic_growth,partial_5pct,20k,theta,0.5969005838591523,0.5969005838591523,0.0,partial_5pct
A2780Naive,theta_logistic_growth,partial_5pct,30k,theta,0.5969005838591523,0.5969005838591523,0.0,partial_5pct
A2780Naive,theta_logistic_growth,independent_diagnostic,20k,r,1.0986091161359115,1.1347809335587846,3.292510219658351,independent_diagnostic
A2780Naive,theta_logistic_growth,independent_diagnostic,30k,r,1.0986091161359115,1.0635902969147004,-3.187559497447212,independent_diagnostic
A2780Naive,theta_logistic_growth,independent_diagnostic,20k,K,4058.3548771810697,4078.911092908608,0.5065159738277147,independent_diagnostic
A2780Naive,theta_logistic_growth,independent_diagnostic,30k,K,4058.3548771810697,4037.902257240596,-0.5039633191141757,independent_diagnostic
A2780Naive,theta_logistic_growth,independent_diagnostic,20k,theta,0.5968729639148839,0.6278434455936928,5.1887894998081,independent_diagnostic
