model,pooling_mode,eligible_for_inheritance,diagnostic_model,bic,ssr,scaled_ssr,params,cell_line,density,mix,n_densities,n_points,parameter_count,boundary_issue,accepted_boundary_expansions,package_api,delta_bic,rank_within_cell_line
logistic_growth,partial_5pct,true,false,-168.78803545436128,734945.1754025196,0.04192098136016215,"[0.8717175225882486, 4031.664863547364, -0.02629044882828202, -0.014681809737729902]",A2780Naive,20k/30k,,2,28,4,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,0.0,1
theta_logistic_growth,shared,true,false,-168.54730252811518,835180.0373066028,0.047626596657019245,"[1.245585305996265, 4074.748731074681, 0.4842946372094419]",A2780Naive,20k/30k,,2,28,3,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,0.2407329262460962,2
logistic_growth,shared,true,false,-165.51923934934328,1.048284216717799e6,0.05977238565466196,"[0.8794355581858506, 3971.3132918302044]",A2780Naive,20k/30k,,2,28,2,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,3.268796105017998,3
gompertz_growth,shared,true,false,-162.14030510789036,1.1841496773059918e6,0.067438764859137,"[0.3898315542143298, 4267.430385169562]",A2780Naive,20k/30k,,2,28,2,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,6.647730346470922,4
theta_logistic_growth,partial_5pct,true,false,-161.48190449622015,847441.2491739156,0.04831356618508537,"[1.241269598993184, 4075.0195221041345, 0.4855850220767195, -0.0009174681968017531, 0.0016955345719059725]",A2780Naive,20k/30k,,2,28,5,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,7.306130958141125,5
theta_logistic_growth,shared,true,false,-181.569368706612,1.3836237102720826e6,0.07940296171967463,"[0.48686422516273026, 3802.90282313452, 3.0839103255520803]",A2780cis,20k/30k,,2,32,3,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,0.0,1
theta_logistic_growth,partial_5pct,true,false,-174.72057354188593,1.3800315920636505e6,0.07919807744057042,"[0.48504487236449245, 3797.0203157704123, 3.225915951808393, -0.000936334015637183, 0.001995900265067574]",A2780cis,20k/30k,,2,32,5,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,6.848795164726084,2
logistic_growth,shared,true,false,-167.206820488923,2.4156212751273946e6,0.13861073648578487,"[0.6024146478938854, 3955.541892813129]",A2780cis,20k/30k,,2,32,2,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,14.36254821768901,3
logistic_growth,partial_5pct,true,false,-160.37589434403074,2.4080376579303844e6,0.13817589785876255,"[0.6021295010521664, 3955.217819773724, -0.00693704345762345, 0.005831415070594252]",A2780cis,20k/30k,,2,32,4,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,21.19347436258127,4
gompertz_growth,shared,true,false,-136.93662793879594,6.22082363057396e6,0.3569561927153876,"[0.2620591421499545, 4362.148495063146]",A2780cis,20k/30k,,2,32,2,false,0,GrowthParameterEstimation.profile_joint_fit_bounds,44.632740767816074,5
