dose_uM,corrected_condition,source_folder,day,observed,sem,sensitive,latent_resistant,total
0.67,IC25,IC75,1.0,1.0,0.018708371238141286,1.0,0.0,1.0
0.67,IC25,IC75,2.0,1.5800693464636333,0.045395842726653805,1.648581970875379,0.0,1.648581970875379
0.67,IC25,IC75,3.0,2.633052517262892,0.14721236474884528,2.4204201082220274,0.0,2.4204201082220274
0.67,IC25,IC75,4.0,3.1982263613909288,0.22390757000635322,3.2439915247063733,0.0,3.2439915247063733
0.67,IC25,IC75,5.0,4.092300766463424,0.1599321044086913,4.046924395902364,0.0,4.046924395902364
0.67,IC25,IC75,6.0,4.891349467753974,0.471481998257101,4.771688278533419,0.0,4.771688278533419
0.67,IC25,IC75,7.0,5.706188805535585,0.276832167589184,5.382052243251593,0.0,5.382052243251593
0.67,IC25,IC75,8.0,5.811081442106717,0.25174361525438554,5.862252850786303,0.0,5.862252850786303
0.67,IC25,IC75,9.0,6.34539080510689,0.32942217705244514,6.21235877734029,0.0,6.21235877734029
0.67,IC25,IC75,10.0,5.435984696102879,0.18766509184990088,6.44270500245219,0.0,6.44270500245219
0.67,IC25,IC75,11.0,6.768383236291075,0.3825682360138929,6.569029093308211,0.0,6.569029093308211
0.67,IC25,IC75,12.0,6.138900617259554,0.34117789016074435,6.608908995004224,0.0,6.608908995004224
0.67,IC25,IC75,13.0,7.159877105565358,0.24358462788003685,6.5794939600203195,0.0,6.5794939600203195
0.67,IC25,IC75,14.0,6.746349766058463,0.23654579267892806,6.4962626652209705,0.0,6.4962626652209705
1.0,IC50,IC50,1.0,1.0,0.13053766944029946,1.0,0.0,1.0
1.0,IC50,IC50,2.0,1.8490225299665999,0.29351174689334686,1.650640462956808,0.0,1.650640462956808
1.0,IC50,IC50,3.0,2.923778562216135,0.3682093121283774,2.431650933955794,0.0,2.431650933955794
1.0,IC50,IC50,4.0,3.869411818118343,0.49946080800750264,3.2755755147853027,0.0,3.2755755147853027
1.0,IC50,IC50,5.0,4.402387400086007,0.3773590698106146,4.1124798697740825,0.0,4.1124798697740825
1.0,IC50,IC50,6.0,5.498712814783067,0.3348990699047708,4.885090019795433,0.0,4.885090019795433
1.0,IC50,IC50,7.0,6.43695372532592,0.40710787467207454,5.555523838361107,0.0,5.555523838361107
1.0,IC50,IC50,8.0,6.33035426692593,0.35299789914492313,6.105164054527495,0.0,6.105164054527495
1.0,IC50,IC50,9.0,5.883655107240904,0.18064023563429793,6.530772324356134,0.0,6.530772324356134
1.0,IC50,IC50,10.0,6.369776680499627,0.2042482795800498,6.839497211757871,0.0,6.839497211757871
1.0,IC50,IC50,11.0,6.482914761950741,0.3672405100544452,7.0443492143838915,0.0,7.0443492143838915
1.0,IC50,IC50,12.0,6.0060959050596985,0.05206056363075002,7.160775948012186,0.0,7.160775948012186
1.0,IC50,IC50,13.0,6.744317583933869,0.32872100366438867,7.204394516015107,0.0,7.204394516015107
1.0,IC50,IC50,14.0,9.097266972808907,0.6388574945796619,7.189676914605423,0.0,7.189676914605423
1.47,IC75,IC25,1.0,1.0,0.08915943219814446,1.0,0.0,1.0
1.47,IC75,IC25,2.0,1.4091736597949114,0.09483559596034805,1.5553378335761403,0.0,1.5553378335761403
1.47,IC75,IC25,3.0,1.8934633460967367,0.1441746933627393,1.950231064324537,0.0,1.950231064324537
1.47,IC75,IC25,4.0,1.8187458893436321,0.13862825387306862,2.0641812258786123,0.0,2.0641812258786123
1.47,IC75,IC25,5.0,1.751838519206813,0.056895182739483886,1.912115393412984,0.0,1.912115393412984
1.47,IC75,IC25,6.0,1.6859999477232293,0.088779400129837,1.5949173200995315,0.0,1.5949173200995315
1.47,IC75,IC25,7.0,1.3301761408773922,0.0715766402530389,1.2250039510860884,0.0,1.2250039510860884
1.47,IC75,IC25,8.0,1.0017578389921864,0.04323554505381123,0.8817714826107678,0.0,0.8817714826107678
1.47,IC75,IC25,9.0,0.6609202891454401,0.032058374722221096,0.6031243207599433,0.0,0.6031243207599433
1.47,IC75,IC25,10.0,0.5147777933108381,0.051567986551679934,0.3962961476188617,0.0,0.3962961476188617
1.47,IC75,IC25,11.0,0.34994969403852383,0.03156024780360524,0.25229916510219613,0.0,0.25229916510219613
1.47,IC75,IC25,12.0,0.22468699869023342,0.025496034054473406,0.15668288709823813,0.0,0.15668288709823813
1.47,IC75,IC25,13.0,0.1685378395802452,0.02026405156524462,0.0954200054666256,0.0,0.0954200054666256
1.47,IC75,IC25,14.0,0.08841611536644499,0.00817263648919923,0.05722430220869534,0.0,0.05722430220869534
