stage,group,candidate,model,pooling,free_parameters,BIC,delta_BIC,boundary,eligible,selected,median_nRMSE,worst_nRMSE,points
1,A2780Naive,M1,baranyi_theta_logistic_growth,partial_5pct,6,-177.5588224995718,0.0,true,true,true,0.028131411954783414,0.03184906780626187,30
1,A2780Naive,M2,theta_logistic_growth,partial_5pct,5,-177.49328221263238,0.0655402869394095,true,true,false,0.029795346172665695,0.03441264127423563,30
1,A2780Naive,M3,adaptation_theta_logistic_growth,partial_5pct,6,-177.1821757128049,0.3766467867668837,true,true,false,0.028318888983488427,0.03207950814428744,30
1,A2780Naive,M4,logistic_growth,independent_diagnostic,4,-175.2345848644254,2.324237635146403,false,false,false,0.03302287815937229,0.037436961264066426,30
1,A2780Naive,M5,theta_logistic_growth,independent_diagnostic,6,-174.63568953690677,2.923132962665022,false,false,false,0.029532962975680546,0.034181264032512426,30
1,A2780cis,M1,adaptation_theta_logistic_growth,shared,4,-186.40564973620323,0.0,false,true,true,0.042384521921769544,0.044678846446266095,34
1,A2780cis,M2,baranyi_theta_logistic_growth,shared,4,-186.03680107220023,0.36884866400299643,true,true,false,0.04263586265167285,0.044822745234436745,34
1,A2780cis,M3,lagged_theta_logistic_growth,shared,4,-185.70416306289172,0.701486673311507,false,true,false,0.042857831265539534,0.045060138403870464,34
1,A2780cis,M4,theta_logistic_growth,shared,3,-181.56937165339986,4.836278082803375,false,true,false,0.048315475009902256,0.04931341616961283,34
1,A2780cis,M5,theta_logistic_growth,partial_5pct,5,-180.0963252951401,6.309324441063126,false,true,false,0.04434590188600353,0.04595389084795084,34
2,A2780Naive,M1,joint_ic_effect_hill_ramp_onset,partial_5pct,6,-269.6558676467345,0.0,true,true,true,0.17480647720140524,0.20491166903145183,90
2,A2780Naive,M2,joint_intracellular_platinum_pkpd,shared,5,-267.97205648953707,1.6838111571974537,true,true,false,0.17091454491998853,0.2323795705294214,90
2,A2780Naive,M3,joint_ic_effect_hill_ramp_onset,shared,5,-265.8308575281755,3.825010118559021,true,true,false,0.18051574333184897,0.21767073406058263,90
2,A2780Naive,M4,joint_intracellular_platinum_pkpd,partial_5pct,6,-262.04757583812204,7.608291808612478,false,true,false,0.17195599034013423,0.2354629061449097,90
2,A2780Naive,M5,joint_ic_effect_transit_death,partial_5pct,5,-253.4887009792594,16.16716666747513,true,true,false,0.18301942143291494,0.24691395213292633,90
2,A2780cis,M1,joint_ic_effect_transit_death,shared,4,-370.75497675445547,0.0,true,true,true,0.08695002972932842,0.1259546103193319,90
2,A2780cis,M2,joint_ic_effect_two_population,shared,5,-369.535495421195,1.2194813332604895,true,true,false,0.09506369548773794,0.10254671677719486,90
2,A2780cis,M3,joint_ic_effect_transit_death,partial_5pct,5,-368.2846760604617,2.4703006939937495,true,true,false,0.08507333874286507,0.12651890915611352,90
2,A2780cis,M4,joint_ic_effect_two_population,partial_5pct,6,-365.3850316250063,5.36994512944915,true,true,false,0.09460241818299447,0.10227758387420036,90
2,A2780cis,M5,joint_ic_effect_hill_ramp_onset,shared,5,-363.85173359616346,6.903243158292014,true,true,false,0.09583008021122366,0.10681701402315273,90
3,A2780Naive+A2780cis,M1,strobl_birth_growth_cost_turnover,strobl_joint,4,-645.8523471037355,0.0,false,false,false,0.12148355975412056,0.20136925155743035,180
3,A2780Naive+A2780cis,M2,strobl_birth_death_cost_turnover,strobl_joint,4,-640.7437721809151,5.108574922820367,false,false,false,0.1256912426834199,0.20045098909162032,180
3,A2780Naive+A2780cis,M3,lv_asymmetric_competition_death,partial_5pct,5,-628.6081386168919,17.244208486843604,true,true,true,0.1361936837111179,0.21223919732906227,180
3,A2780Naive+A2780cis,M4,lv_asymmetric_competition_death,independent_diagnostic,8,-623.2518061517798,22.600540951955736,true,false,false,0.12375903319020996,0.2074902951383117,180
3,A2780Naive+A2780cis,M5,lv_asymmetric_competition_death,shared,4,-592.2756647382031,53.576682365532406,true,true,false,0.15529297352755483,0.21514605411364426,180
4,A2780Naive+A2780cis,M1,load_plus_tolerant_context,linked_global,15,-1145.7578845218993,0.0,true,true,true,0.15481469366614248,0.28769220273935214,180
4,A2780Naive+A2780cis,M2,load_scaled,linked_global,13,-1099.4461438044189,46.31174071748046,false,true,false,0.19792981345853072,0.2720514163791954,180
4,A2780Naive+A2780cis,M3,load_plus_tolerant_growth_context,linked_global,16,-1074.2941676164467,71.46371690545266,false,true,false,0.1944527107730121,0.25267591038103215,180
4,A2780Naive+A2780cis,M4,subpopulation_load_scaled,linked_global,14,-1071.5118350490654,74.24604947283387,false,true,false,0.20873127043953582,0.27073405496317837,180
4,A2780Naive+A2780cis,M5,fully_free_context_diagnostic,linked_global,22,-1066.9634342653,78.79445025659925,false,false,false,0.17264470072016777,0.2811936591502332,180
