time,observed,predicted,fixed_day0_anchor,model,route,density,mix,component
0.0,16.75,16.75,true,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
1.0,99.62333333333333,39.07156369581166,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
2.0,151.64666666666665,140.86939411212794,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
3.0,256.715,422.39239724095853,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
4.0,308.39166666666665,756.1784274935173,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
5.0,458.41,965.8998952590368,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
6.0,443.1983333333333,1036.3480399934538,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
7.0,684.745,1027.1091706384134,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
8.0,381.4466666666667,987.7249700086172,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
9.0,434.4266666666667,943.4727654034631,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
10.0,381.8066666666667,904.2020654929149,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
11.0,827.9266666666667,872.5175560853235,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
12.0,564.2466666666667,848.1553780531617,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
13.0,1105.2716666666665,829.9365473128707,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
14.0,404.80333333333334,816.5518002445643,false,stage2_direct_context_scaling,treatment_first,20k,25-75,sensitive
0.0,50.25,50.25,true,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
1.0,88.58666666666666,57.02363090889125,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
2.0,143.335,80.53636823485888,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
3.0,247.62666666666667,135.08192232917418,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
4.0,494.3083333333334,257.0609776095277,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
5.0,903.3716666666666,525.4481840514977,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
6.0,1360.0966666666666,1064.8463657147943,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
7.0,2438.3766666666666,1534.0139224263944,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
8.0,1945.3233333333335,1412.6364732820227,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
9.0,3250.286666666667,1767.7845805019983,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
10.0,3135.64,2060.0284069075215,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
11.0,3987.5866666666666,2264.452316731232,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
12.0,2308.2483333333334,2393.599165605362,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
13.0,3826.773333333333,2471.654391184911,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
14.0,2159.3716666666664,2519.000194294444,false,stage2_direct_context_scaling,treatment_first,20k,25-75,resistant
0.0,33.5,33.5,true,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
1.0,154.28,74.22452724487796,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
2.0,285.20666666666665,240.71757167372192,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
3.0,425.075,631.7340334036411,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
4.0,562.615,999.5306258125177,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
5.0,850.4516666666667,1162.9014995173113,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
6.0,932.2550000000001,1170.5738687203802,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
7.0,1392.045,1112.5707158468895,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
8.0,999.73,1041.2237128070492,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
9.0,1287.6316666666664,977.132133059309,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
10.0,1285.185,925.6537699898892,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
11.0,1589.9216666666669,886.3850956558776,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
12.0,1183.66,857.2365522199278,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
13.0,1283.0133333333333,835.9473618904641,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
14.0,1010.3066666666667,820.564079770106,false,stage2_direct_context_scaling,treatment_first,20k,50-50,sensitive
0.0,33.5,33.5,true,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
1.0,51.281666666666666,38.04073282560559,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
2.0,89.81333333333333,53.84822115528438,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
3.0,141.95833333333334,90.79129060892538,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
4.0,269.67333333333335,174.79024644352927,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
5.0,503.14333333333326,366.51177345945666,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
6.0,640.2366666666667,782.5983366536136,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
7.0,1228.7583333333334,1228.4409922036643,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
8.0,1159.7433333333333,1203.3500349444737,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
9.0,2141.5383333333334,1591.7314161123486,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
10.0,2331.901666666666,1937.9922149964277,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
11.0,3319.126666666667,2192.5547002252674,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
12.0,1939.1216666666667,2355.8751477298492,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
13.0,3037.8416666666667,2453.2968531043075,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
14.0,1923.26,2510.4809784418317,false,stage2_direct_context_scaling,treatment_first,20k,50-50,resistant
0.0,50.25,50.25,true,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
1.0,216.94833333333335,107.49402015519594,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
2.0,395.03833333333336,325.2240774327219,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
3.0,575.9033333333333,786.093241699675,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
4.0,750.965,1157.8170687618767,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
5.0,1098.7666666666667,1279.6010441810956,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
6.0,1222.9466666666665,1245.2082015410153,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
7.0,1636.885,1158.1680049849606,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
8.0,1417.09,1069.0151593608618,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
9.0,1830.3733333333337,994.3166773419562,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
10.0,2137.61,936.4820021274488,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
11.0,2132.978333333333,893.3326593722251,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
12.0,1500.195,861.7634591214162,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
13.0,1762.6516666666669,838.9336755944203,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
14.0,1454.5266666666666,822.5529709451511,false,stage2_direct_context_scaling,treatment_first,20k,75-25,sensitive
0.0,16.75,16.75,true,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
1.0,26.93166666666667,19.03304475670985,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
2.0,42.105,27.004316188020184,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
3.0,64.44166666666668,45.775186737229774,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
4.0,128.0016666666667,89.19681161024943,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
5.0,186.15166666666664,192.26641611903415,false,stage2_direct_context_scaling,treatment_first,20k,75-25,resistant
