stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 1,A2780Naive,20k,1.0,280.6765433333333,94.11697808909086,3,,,
Stage 1,A2780Naive,20k,2.0,415.7101466666666,284.7436279913082,3,,,
Stage 1,A2780Naive,20k,3.0,908.8381946666667,463.26670845636124,3,,,
Stage 1,A2780Naive,20k,4.0,1701.1216823333332,584.0512352872427,3,,,
Stage 1,A2780Naive,20k,5.0,2629.3940586666668,677.7133711980398,3,,,
Stage 1,A2780Naive,20k,6.0,3264.7935765,773.5696631025411,2,,,
Stage 1,A2780Naive,20k,7.0,3641.570756333333,368.1969522478047,3,,,
Stage 1,A2780Naive,20k,8.0,3601.847184,394.99702016933935,3,,,
Stage 1,A2780Naive,20k,9.0,3866.1673996666664,168.93671680002728,3,,,
Stage 1,A2780Naive,20k,10.0,3884.2516586666666,147.31267063245505,3,,,
Stage 1,A2780Naive,20k,11.0,4153.039699,52.48133305511164,3,,,
Stage 1,A2780Naive,20k,12.0,3981.5291666666667,137.45095048356808,3,,,
Stage 1,A2780Naive,20k,13.0,4213.666204,47.00791840091182,3,,,
Stage 1,A2780Naive,20k,14.0,4195.749691333333,103.99265410755673,3,,,
Stage 1,A2780Naive,30k,1.0,246.85030866666668,129.6017239518412,3,,,
Stage 1,A2780Naive,30k,2.0,386.6241513333334,192.92516440411356,3,,,
Stage 1,A2780Naive,30k,3.0,921.0547066666668,418.4677967562674,3,,,
Stage 1,A2780Naive,30k,4.0,1594.845139,689.8558119155629,3,,,
Stage 1,A2780Naive,30k,5.0,2628.855208333333,641.7504818455188,3,,,
Stage 1,A2780Naive,30k,6.0,3034.912075666667,263.05016826217434,3,,,
Stage 1,A2780Naive,30k,7.0,3462.9069443333333,367.5581625235552,3,,,
Stage 1,A2780Naive,30k,8.0,3405.0643130000003,313.84003145435884,3,,,
Stage 1,A2780Naive,30k,9.0,3755.2344136666666,201.22823208037852,3,,,
Stage 1,A2780Naive,30k,10.0,3652.791281,187.62219893592533,3,,,
Stage 1,A2780Naive,30k,11.0,4085.137268666667,94.77344528865717,3,,,
Stage 1,A2780Naive,30k,12.0,4010.5481483333333,102.81125318748794,3,,,
