cell_line,density,stage,n_wells,median_cv,fit_within_one_sd,positive_wells,flat_wells,negative_wells,mean_late_slope,predicted_late_slope,direction_consensus,dose,mix,component
A2780Naive,20k,Stage 1,3,0.10538725103598955,0.7857142857142857,3,0,0,68.36225703333326,11.893470102526408,1.0,,,
A2780Naive,30k,Stage 1,3,0.08942166534308565,0.6428571428571429,3,0,0,108.6706481,11.835490559526898,1.0,,,
A2780cis,20k,Stage 1,3,0.13299328779489658,0.4375,1,2,0,33.816358390804595,0.0,0.6666666666666666,,,
A2780cis,30k,Stage 1,3,0.0728232410296662,0.375,0,2,1,-17.287767732758645,-3.481868823044466e-29,0.6666666666666666,,,
A2780Naive,20k,Stage 2,3,0.09956842088513757,0.14285714285714285,3,0,0,230.62237653333332,7.460711838270936,1.0,0.67,,
A2780Naive,20k,Stage 2,3,0.07845084916723413,0.35714285714285715,3,0,0,224.78065963333333,-22.707169635179888,1.0,1.0,,
A2780Naive,20k,Stage 2,3,0.23505148211241472,0.42857142857142855,0,0,3,-47.5258797,-27.230386857654594,1.0,1.47,,
A2780Naive,30k,Stage 2,3,0.07953202708582896,0.6428571428571429,3,0,0,152.8708449333334,12.484573789392789,1.0,0.67,,
A2780Naive,30k,Stage 2,3,0.10751741667827847,0.42857142857142855,3,0,0,158.45759643333332,-22.131073635032475,1.0,1.0,,
A2780Naive,30k,Stage 2,3,0.1319521943997872,0.14285714285714285,0,0,3,-70.64125763333334,-28.96304993613138,1.0,1.47,,
A2780cis,20k,Stage 2,3,0.11302113358159913,0.35714285714285715,2,1,0,76.53011193333333,44.753441673528094,0.6666666666666666,0.67,,
A2780cis,20k,Stage 2,3,0.05139625058542288,0.14285714285714285,3,0,0,194.06873076666668,148.09443277938303,1.0,1.0,,
A2780cis,20k,Stage 2,3,0.0647207976034302,0.07142857142857142,3,0,0,310.8665354666667,148.26459073727193,1.0,1.47,,
A2780cis,30k,Stage 2,3,0.05884999768064132,0.21428571428571427,3,0,0,120.68812496666665,34.017723614601024,1.0,0.67,,
A2780cis,30k,Stage 2,3,0.08561633139064925,0.21428571428571427,3,0,0,258.40641203333337,121.73194443153675,1.0,1.0,,
A2780cis,30k,Stage 2,3,0.07519361061455108,0.21428571428571427,3,0,0,324.3740239666667,117.30431515331456,1.0,1.47,,
,20k,Stage 3,3,0.21146537652069758,0.5714285714285714,0,1,2,-26.154000000000014,0.21388258330482585,0.6666666666666666,,25-75,resistant
,20k,Stage 3,3,0.07856856720952338,0.2857142857142857,3,0,0,155.66,34.66718985279649,1.0,,25-75,sensitive
,20k,Stage 3,3,0.19348776047618987,0.5714285714285714,0,0,3,-49.24199999999999,7.015803089581823,1.0,,50-50,resistant
,20k,Stage 3,3,0.13422814151457635,0.2857142857142857,3,0,0,150.71833333333333,21.382998699608017,1.0,,50-50,sensitive
,20k,Stage 3,3,0.0864428419259472,0.14285714285714285,0,0,3,-28.354333333333333,14.985155485820496,1.0,,75-25,resistant
,20k,Stage 3,3,0.0778134628766059,0.35714285714285715,3,0,0,128.90666666666667,16.752927560983608,1.0,,75-25,sensitive
,30k,Stage 3,3,0.1067713431445664,0.21428571428571427,0,0,3,-85.55133333333332,-0.0027020125085073232,1.0,,25-75,resistant
,30k,Stage 3,3,0.21010343847405777,0.42857142857142855,3,0,0,84.97166666666668,43.23904696144605,1.0,,25-75,sensitive
,30k,Stage 3,3,0.13413776949459372,0.42857142857142855,0,0,3,-59.41833333333333,-0.002051923601823091,1.0,,50-50,resistant
,30k,Stage 3,3,0.09395725886453217,0.21428571428571427,2,1,0,80.16033333333333,33.454993076525895,0.6666666666666666,,50-50,sensitive
,30k,Stage 3,3,0.0982654043782872,0.2857142857142857,0,0,3,-37.929798449612406,0.2872637231185763,1.0,,75-25,resistant
,30k,Stage 3,3,0.11051528070199797,0.35714285714285715,3,0,0,99.52369369369369,29.089179642700675,1.0,,75-25,sensitive
,20k,Stage 4,6,0.24591091579300103,0.07142857142857142,0,1,5,-211.335,102.89886306188187,0.8333333333333334,,25-75,resistant
,20k,Stage 4,6,0.37524114925129015,0.35714285714285715,1,4,1,32.33383333333333,-27.256127374067546,0.6666666666666666,,25-75,sensitive
,20k,Stage 4,6,0.1739997145352853,0.07142857142857142,0,2,4,-109.85683333333331,168.14240198127726,0.6666666666666666,,50-50,resistant
,20k,Stage 4,6,0.1715629795692834,0.7857142857142857,1,1,4,-85.6665,-43.090087857743036,0.6666666666666666,,50-50,sensitive
,20k,Stage 4,6,0.2857078644123413,0.42857142857142855,4,2,0,87.08,229.0174155365542,0.6666666666666666,,75-25,resistant
,20k,Stage 4,6,0.3298941319789155,0.7142857142857143,0,0,6,-173.64933333333337,-45.972896815674446,1.0,,75-25,sensitive
,30k,Stage 4,6,0.18461996156669264,0.5,3,2,1,36.92349999999996,94.61199418287666,0.5,,25-75,resistant
,30k,Stage 4,6,0.4224395383669383,0.6428571428571429,6,0,0,158.75516666666667,-31.489416922272447,1.0,,25-75,sensitive
,30k,Stage 4,6,0.20848376391721807,0.5714285714285714,4,0,2,79.19883333333333,156.8099119115121,0.6666666666666666,,50-50,resistant
,30k,Stage 4,6,0.23098319824990243,0.5,3,3,0,76.88266666666668,-47.539938595477494,0.5,,50-50,sensitive
,30k,Stage 4,6,0.2830514895505614,0.7142857142857143,5,1,0,142.83500000000004,218.83791588297407,0.8333333333333334,,75-25,resistant
,30k,Stage 4,6,0.27899745956340194,0.5,0,2,4,-74.03800000000004,-51.721136875030425,0.6666666666666666,,75-25,sensitive
