stage,condition,fit_scope,model,bic,sse,params,inherited
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-3,Run 1,logistic,188.5554342614428,6.785472203632301e6,1.3953;1275.2,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-3,Run 1,logistic_with_lag,191.18599149681785,6.781353657388847e6,1.617;1274.8;0.52106,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-3,Run 1,logistic_plus_loss,191.1944915910577,6.785472203632131e6,1.4115;1290.0;0.01614,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-3,Run 1,logistic_with_delayed_death,192.86448442904117,6.331676137984725e6,1.2091;2109.2;0.52534;5.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-3,Run 1,logistic_with_smooth_delayed_death,195.58795810402958,6.369969826696446e6,1.2139;2089.7;0.5192;5.0009;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 1-3,Run 1,transit_compartment_delayed_kill,196.47260625199,6.785472204456936e6,1.4752;1348.2;0.079875;0.34022;0.051861,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-3,Run 1,logistic_with_delayed_death,93.40001998593759,5200.296638046935,3.1588;494.07;3.0;3.8807,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-3,Run 1,logistic_with_smooth_delayed_death,95.97334537965497,5175.937755152158,3.1582;493.96;3.0;3.8755;0.05006,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-3,Run 1,logistic,149.56807157443316,418939.93003641715,4.0;167.51,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-3,Run 1,logistic_plus_loss,152.20712890404815,418939.93003640854,4.0;167.51;2.8073e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-3,Run 1,logistic_with_lag,152.20712946469038,418939.9468132251,4.0;167.51;5.4146e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 1-3,Run 1,transit_compartment_delayed_kill,157.48524364156154,418939.9323789673,4.0;167.51;7.6228e-12;0.0001;3.1782e-7,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-3,Run 1,logistic,200.47035465134394,1.5892537004173262e7,1.4193;2122.9,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-3,Run 1,logistic_with_lag,203.10265388090693,1.588486718728907e7,1.5726;2121.1;0.36184,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-3,Run 1,logistic_plus_loss,203.1094119809588,1.5892537004172808e7,1.4317;2141.5;0.012409,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-3,Run 1,logistic_with_delayed_death,205.7477286187317,1.589169620694964e7,1.4225;2124.8;0.00464;6.8321,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-3,Run 1,logistic_with_smooth_delayed_death,207.69623432963135,1.5126854470908131e7,1.228;3352.0;0.4901;5.0003;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 1-3,Run 1,transit_compartment_delayed_kill,208.38752657324972,1.5892536928184237e7,1.5017;2246.1;0.082373;0.23425;0.047193,none; direct low-resource fit
