workbook,sheet,series,day,value
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,0.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,0.0,16.645
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,0.0,0.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,1.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,1.0,355.2548430333333
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,1.0,319.70519959159355
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,1.0,184.5818830455296
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,2.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,2.0,243.07517813333334
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,2.0,66.65586070951468
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,2.0,38.4837791237045
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,3.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,3.0,519.1483920666666
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,3.0,130.81275068841748
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,3.0,75.52477682339324
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,4.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,4.0,646.7999999666666
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,4.0,84.33373476288477
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,4.0,48.690104467118026
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,5.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,5.0,2267.1919893333334
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,5.0,778.5208516471054
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,5.0,449.47922326819304
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,6.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,6.0,877.5612556
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,6.0,279.9392799319041
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,6.0,161.62301862543484
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,7.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,7.0,1038.4631233666667
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,7.0,468.50167090245174
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,7.0,270.48956581132
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,8.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,8.0,156.82704796666667
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,8.0,50.659798717597205
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,8.0,29.248448426697006
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,9.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,9.0,246.32427726666666
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,9.0,135.90103324092803
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,9.0,78.46249812479809
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,10.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,10.0,2108.786333333333
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,10.0,771.070501669162
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,10.0,445.1777617028705
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,11.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,11.0,2092.9223333333334
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,11.0,1082.5990997522274
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,11.0,625.038881666395
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,13.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,13.0,597.7451615636433
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SD Cells,13.0,199.53426244392867
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,SEM Cells,13.0,115.20116013455566
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,N Samples,14.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780 20k 1-3,Mean Cells,14.0,2321.604621606008
