condition,cell_line,density,dose,mix,replicate,n_rows
monoculture_treated,A2780Naive,20k,0.67,,1,14
monoculture_treated,A2780Naive,20k,1.0,,1,14
monoculture_treated,A2780Naive,20k,1.47,,1,14
monoculture_treated,A2780Naive,30k,0.67,,1,14
monoculture_treated,A2780Naive,30k,1.0,,1,14
monoculture_treated,A2780Naive,30k,1.47,,1,14
monoculture_treated,A2780Naive,20k,0.67,,2,14
monoculture_treated,A2780Naive,20k,1.0,,2,14
monoculture_treated,A2780Naive,20k,1.47,,2,14
monoculture_treated,A2780Naive,30k,0.67,,2,14
monoculture_treated,A2780Naive,30k,1.0,,2,14
monoculture_treated,A2780Naive,30k,1.47,,2,14
monoculture_treated,A2780Naive,20k,0.67,,3,14
monoculture_treated,A2780Naive,20k,1.0,,3,14
monoculture_treated,A2780Naive,20k,1.47,,3,14
monoculture_treated,A2780Naive,30k,0.67,,3,14
monoculture_treated,A2780Naive,30k,1.0,,3,14
monoculture_treated,A2780Naive,30k,1.47,,3,14
monoculture_treated,A2780cis,20k,0.67,,1,14
monoculture_treated,A2780cis,20k,1.0,,1,14
monoculture_treated,A2780cis,20k,1.47,,1,14
monoculture_treated,A2780cis,30k,0.67,,1,14
monoculture_treated,A2780cis,30k,1.0,,1,14
monoculture_treated,A2780cis,30k,1.47,,1,14
monoculture_treated,A2780cis,20k,0.67,,2,14
monoculture_treated,A2780cis,20k,1.0,,2,14
monoculture_treated,A2780cis,20k,1.47,,2,14
monoculture_treated,A2780cis,30k,0.67,,2,14
monoculture_treated,A2780cis,30k,1.0,,2,14
monoculture_treated,A2780cis,30k,1.47,,2,14
monoculture_treated,A2780cis,20k,0.67,,3,14
monoculture_treated,A2780cis,20k,1.0,,3,14
monoculture_treated,A2780cis,20k,1.47,,3,14
monoculture_treated,A2780cis,30k,0.67,,3,14
monoculture_treated,A2780cis,30k,1.0,,3,14
monoculture_treated,A2780cis,30k,1.47,,3,14
