model,model_label,cell,dose,den,ic50,params,BIC,RSS,file
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780Naive,IC25,20k,1.0,"(δd = 0.5244703596881896, n = 5.842311631940019, d0 = 0.06803567802680702)",20.761572537213773,34.83229580169974,A2780Naive_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780cis,IC25,20k,8.0,"(δd = 7.29830953787334, n = 7.864551993453426, d0 = 0.14791008908513062)",-34.03656143789871,0.9024301977512561,A2780cis_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780Naive,IC50,20k,1.0,"(δd = 0.018726140929798452, n = 0.9484657809028303, d0 = 0.17944914393219571)",-22.339239357541878,1.968275024417154,A2780Naive_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780cis,IC50,20k,8.0,"(δd = 10.288853219985915, n = 2.6399052626766353, d0 = 0.0518805114837626)",-44.14810669947992,0.45989045810269424,A2780cis_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780Naive,IC75,20k,1.0,"(δd = 0.03635611848313704, n = 4.524229352875039, d0 = 0.03673219719515311)",-21.8771233978962,2.0298568385573503,A2780Naive_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780cis,IC75,20k,8.0,"(δd = 1.1991408978099625, n = 2.824251014657847, d0 = 0.11218434895707163)",-38.638744676682656,0.6639979937991591,A2780cis_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780Naive,IC25,30k,1.0,"(δd = 0.6136709259028673, n = 1.0719750971116464, d0 = 0.15353110991410623)",19.15468955377427,31.293783402046593,A2780Naive_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780cis,IC25,30k,8.0,"(δd = 31.323901954532722, n = 5.592317258511554, d0 = 0.2024110226422478)",-28.528219022324166,1.3028561496841755,A2780cis_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780Naive,IC50,30k,1.0,"(δd = 0.1818673926728432, n = 7.63886670108147, d0 = 0.08405212202113356)",-19.27339372526565,2.4146328483160526,A2780Naive_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780cis,IC50,30k,8.0,"(δd = 32.51549332026637, n = 5.603831744168034, d0 = 0.1140654803045712)",-40.348710877344466,0.592458827636839,A2780cis_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780Naive,IC75,30k,1.0,"(δd = 3.590710782651436e-7, n = 11.591396713240716, d0 = 2.724666847576462e-6)",-20.0056582923239,2.299587152844874,A2780Naive_day_averages.csv
logistic_death_hill_d0,"Logistic + Hill death δd, baseline d0",A2780cis,IC75,30k,8.0,"(δd = 40.31571943262163, n = 9.739170979254558, d0 = 0.11130647622656506)",-40.41182789290389,0.5899711163349848,A2780cis_day_averages.csv
