density,mix,version,Day,S_obs,R_obs,T_obs,S_hat,R_hat,T_hat
20k,25-75,transfer_predict,1,99.62,88.59,188.21,99.62,88.59,188.21
20k,25-75,transfer_predict,2,151.65,143.34,294.99,113.20363374721623,97.90596612530737,211.1095998725236
20k,25-75,transfer_predict,3,256.71,247.63,504.34,163.62923390463936,66.95904479281639,230.58827869745573
20k,25-75,transfer_predict,4,308.39,494.31,802.7,282.19503714651256,56.5511582219268,338.7461953684394
20k,25-75,transfer_predict,5,458.41,903.37,1361.78,502.26614095991755,53.97911891057508,556.2452598704926
20k,25-75,transfer_predict,6,443.2,1360.1,1803.3,861.5750367832097,49.348274074056164,910.9233108572658
20k,25-75,transfer_predict,7,684.74,2438.38,3123.12,1444.796472321752,36.982435059808836,1481.7789073815607
20k,25-75,transfer_predict,8,381.45,1945.32,2326.77,2253.4571761743173,19.842232552307244,2273.2994087266247
20k,25-75,transfer_predict,9,434.43,3250.29,3684.72,3281.2877561915275,6.819421454865594,3288.107177646393
20k,25-75,transfer_predict,10,381.81,3135.64,3517.45,3944.1803356899545,1.5617438402383437,3945.7420795301928
20k,25-75,transfer_predict,11,827.93,3987.59,4815.52,4060.620274142555,0.305941532234637,4060.9262156747895
20k,25-75,transfer_predict,12,564.25,2308.25,2872.5,4069.4054871161325,0.059011336388114344,4069.4644984525207
20k,25-75,transfer_predict,13,1105.27,3826.77,4932.04,4072.787485404609,0.011367446167103739,4072.7988528507763
20k,25-75,transfer_predict,14,404.8,2159.37,2564.17,4074.6196876728145,0.002188407303185638,4074.6218760801175
20k,25-75,fit_on_coculture,1,99.62,88.59,188.21,99.62,88.59,188.21
20k,25-75,fit_on_coculture,2,151.65,143.34,294.99,113.42845268303638,96.20664488356532,209.6350975666017
20k,25-75,fit_on_coculture,3,256.71,247.63,504.34,173.93344792383934,56.66561998773684,230.59906791157618
20k,25-75,fit_on_coculture,4,308.39,494.31,802.7,332.6909392107964,42.86909117321847,375.56003038401485
20k,25-75,fit_on_coculture,5,458.41,903.37,1361.78,669.4637787616855,36.64378206248935,706.1075608241748
