density,cell_line,model,title,params,sse,bic,aic
20k,A2780Naive,transit_erlang_m4,transit_erlang_m4,"kmax=3.9788, n=2.651, K50=2.0369, tau=5.5251",1187.4450200005151,162.50700353446834,155.28035357538707
20k,A2780Naive,time_delay,time_delay,"alpha=0.8371, beta=0.4865, n=0.5785, kD=94.3239",1.288667748357021e6,477.0372149455304,469.81056498644915
20k,A2780Naive,pkpd_hill_inhibition,pkpd_hill_inhibition,"Emax=1.0, n=5.9995, IC50=1.0, k_e=0.0",9244.04549073165,254.85490808151948,247.6282581224382
20k,A2780Naive,theta_hill_inhibition,theta_hill_inhibition,"Emax=1.0, n=5.9987, IC50=1.0",9248.763439222474,251.07120669922585,245.6512192299149
20k,A2780Naive,theta_hill_kill,theta_hill_kill,"kmax=2.9463, n=3.205, K50=1.7722",1839.4321997282857,178.39472514406842,172.97473767475745
20k,A2780Naive,damage_repair_arrest,damage_repair_arrest,"kmax=3.7688, n=1.9989, K50=3.0356, k_rep=1.446, k_arr=1.3937, dA=1.9889",746822.0971855092,460.10136547074495,449.261390532123
20k,A2780Naive,sensitive_resistant,sensitive_resistant,"rS_scale=0.223, rR_scale=0.1022, kS_max=3.3802, kR_max=1.3755, n=5.6161, K50S=42.9538, K50R=52.9613, S0_frac=0.0179",28899.3124057636,321.37427655182,306.92097663365746
20k,A2780Naive,biexponential,biexponential,"w=0.9999, lambda1=0.0, lambda2=0.0",23318.604905663058,292.685482092609,287.265494623298
20k,A2780Naive,theta_hill_inhibition_dde,theta_hill_inhibition_dde,"Emax=0.9994, n=5.981, IC50=1.0, tau=3.0",9428.309450059125,255.74308178795135,248.51643182887008
20k,A2780Naive,Model3_parpi,Model3_parpi,"alpha=0.6967, beta=0.0004, gamma=1.274, d=0.2853",18332.787789983984,285.66692673813736,278.4402767790561
20k,A2780Naive,adaptive_ic50,adaptive_ic50,"Emax=0.9426, n=5.0037, IC50_0=0.7364, a=0.0105, b=1.6737",12203.43069097475,271.1597582007977,262.1264457519461
20k,A2780Naive,lag_hill_inhibition,lag_hill_inhibition,"Emax=0.99, n=5.7646, IC50=1.0, t_lag=1.8134, m=0.8959",9002.520495215402,257.4701946552263,248.4368822063747
20k,A2780Naive,Model2_parpi,Model2_parpi,"alpha=0.8175, beta=0.0, d=0.7996",15953.933548938563,275.6059067179759,270.18591924866496
