dataset_index,density,mix,model,params,sse,aic,bic,converged
1,20k,25-75,Logistic_sharedK_log,"[0.526145630071557, 0.6216152807073237, 4079.7546297054087]",6.739858300129955,-38.79475442035598,-34.59116227536951,Success
1,20k,25-75,ThetaLV_sharedV_log,"[0.47696659350943726, 0.562988199389884, 3453.746147940468, 3.5032227256248833]",6.164715420009162,-39.47066220081207,-33.86587267416345,Success
1,20k,25-75,gLV_symmetric_log,"[0.4954892649490475, 0.6476238326283918, 9380.674950777071, 3.504620926127347]",6.225442796850842,-39.17658429450744,-33.57179476785882,Success
1,20k,25-75,ThetaLV_full_raw,"[0.6208174264012677, 0.8269766477430545, 4270.797161735252, 0.7495455984846688, 1.3572513764942047, 4.078315292499078e-56, 0.17871352962034454]",719172.8315274843,316.53978811402897,326.348169785664,Success
2,20k,50-50,ThetaLV_sharedV_log,"[0.5706600565182727, 0.4054282904131451, 3322.5481482468585, 3.3607050364660087]",3.3178269165955085,-58.056620687043974,-52.45183116039535,Success
2,20k,50-50,Logistic_sharedK_log,"[0.6336080785578357, 0.44828561244136755, 3855.054639970453]",3.7850671276640524,-56.10401279243885,-51.900420647452385,Success
2,20k,50-50,gLV_symmetric_log,"[0.6215577434667123, 0.4614200696989754, 4242.773652724053, 1.2230038925450812]",3.7201859717126466,-54.62271166692417,-49.017922140275545,Success
2,20k,50-50,ThetaLV_full_raw,"[1.0489011648250763, 0.799972207875805, 3988.5541744571074, 0.3879967579394788, 2.955110104965771, 1.0768477922496053e-6, 0.37558879497052183]",466330.4572746594,303.5435724773056,313.35195414894065,Success
3,20k,75-25,Logistic_sharedK_log,"[0.7825396080656629, 0.23953925167518267, 3168.802951161767]",8.203873363201906,-32.89772932660117,-28.694137181614707,Success
3,20k,75-25,gLV_symmetric_log,"[0.8099863649752126, 0.19063519233688542, 2752.985061521862, 0.3959196500040958]",7.768553075832245,-32.53340361850541,-26.928614091856787,Success
3,20k,75-25,ThetaLV_sharedV_log,"[0.7205730899664264, 0.22218103015755925, 2930.794665447806, 1.9309381499684775]",8.063210555981119,-31.416567173475052,-25.811777646826428,Success
3,20k,75-25,ThetaLV_full_raw,"[1.3084727792769058, 0.5305516659211107, 3115.705908191898, 0.3842740719901916, 5.999999999999999, 6.229687139664309e-6, 0.29826381486337916]",521133.83725604066,306.8769437423677,316.6853254140028,Success
4,30k,25-75,gLV_symmetric_log,"[0.4068999510943281, 0.7268475686871817, 2448.0369970422776, 6.506922802609793e-40]",7.8832639382216145,-32.09366074580961,-26.488871219160984,Success
4,30k,25-75,Logistic_sharedK_log,"[0.45647853362976987, 0.6798717786427364, 4650.971798824581]",8.852336256939527,-30.615479209348322,-26.411887064361856,Success
4,30k,25-75,ThetaLV_sharedV_log,"[0.4079504953718846, 0.6049575318252206, 4039.203461424286, 3.5667367802667833]",8.344619849161448,-30.387411397316754,-24.78262187066813,Success
4,30k,25-75,ThetaLV_full_raw,"[0.4387926668205128, 0.8279675022752626, 4713.087667797471, 1.4694700392827382, 1.4943154069445324, 3.9575434064083887e-29, 0.14547065447429716]",2.545781001827638e6,354.46251968520596,364.270901356841,Success
5,30k,50-50,ThetaLV_sharedV_log,"[0.5317188549455375, 0.3454322811531076, 3202.145817466216, 3.4234175704692227]",3.6184130993391395,-55.45485466855451,-49.85006514190589,Success
5,30k,50-50,Logistic_sharedK_log,"[0.6077586776640727, 0.3926603845490845, 3662.7304049537606]",4.068039440039788,-53.94108624993455,-49.737494104948084,Success
5,30k,50-50,gLV_symmetric_log,"[0.5910520392002802, 0.41327266946135255, 4146.928163064225, 1.3102232444978812]",3.9414502581140747,-52.88945920790569,-47.284669681257064,Success
5,30k,50-50,ThetaLV_full_raw,"[0.8102522107914446, 0.6420490891402966, 3639.918100202412, 0.6100766757793227, 3.393385355520419, 1.6313261169996311e-55, 0.2758037586330967]",625294.4028191016,312.34341441980916,322.1517960914442,Success
6,30k,75-25,Logistic_sharedK_log,"[0.7480707667393156, 0.223625420680796, 3439.9643455803393]",5.604390859502485,-44.32941027296353,-40.12581812797706,Success
6,30k,75-25,gLV_symmetric_log,"[0.7617017821690873, 0.19459592635931452, 3157.1375538923853, 0.6313462636821173]",5.456954306790052,-43.1291970044084,-37.52440747775977,Success
6,30k,75-25,ThetaLV_sharedV_log,"[0.7318021757152411, 0.21901655615867544, 3392.7051060338717, 1.103607670577075]",5.601474537559614,-42.345025249078496,-36.74023572242987,Success
6,30k,75-25,ThetaLV_full_raw,"[1.4329135749386868, 0.5096105894427921, 3665.4413662428083, 0.2969547599067114, 5.999999999999999, 3.293270670792884e-7, 0.3157973641051101]",1.0220544283522129e6,327.08383770110754,336.8922193727426,Success
