mix,model,pooled_params,pooled_sse_total,pooled_aic_total,pooled_bic_total,pooled_converged,pooled_n_obs
25-75,fixed_mono_sharedK_symmetric_alpha_log,"[500.000001, -0.781569]",27.508967570156717,-42.789951034774845,-38.60126191033064,true,60
25-75,fixed_mono_sharedK_competitive_log,"[502.036373, -1.072328, -0.613612]",26.25756519301057,-43.58342501259065,-37.30039132592435,true,60
25-75,fixed_mono_sharedK_death_log,"[43859.07753, 0.524708, 0.0]",34.10922692820118,-27.886597807755628,-21.603564121089327,true,60
25-75,fixed_mono_competitive_death_log,"[0.0, 0.0, 0.390437, 0.0]",43.65925448868437,-11.075757197874314,-2.698378948985912,true,60
25-75,fixed_mono_symmetric_alpha_log,[-0.241617],54.74792634683401,-3.4963041511861235,-1.401959588964023,true,60
25-75,fixed_mono_competitive_log,"[3.984768, 0.000176]",64.44334632863934,8.286515446537411,12.475204570981612,true,60
25-75,fixed_mono_sharedK_log,[9555.405702],238.69665948507068,84.85093858450284,86.94528314672495,true,60
50-50,fixed_mono_competitive_death_log,"[0.0, 0.096213, 0.255001, 0.0]",9.337423819907723,-103.61885021841985,-95.24147196953145,true,60
50-50,fixed_mono_sharedK_death_log,"[9842.488619, 0.35937, 0.0]",10.939071101279685,-96.12022063851258,-89.83718695184628,true,60
50-50,fixed_mono_sharedK_symmetric_alpha_log,"[1931.694857, -0.123426]",14.034612411725366,-83.16907811760474,-78.98038899316055,true,60
50-50,fixed_mono_competitive_log,"[3.773733, 0.072231]",14.147144603252507,-82.6899051991588,-78.5012160747146,true,60
50-50,fixed_mono_sharedK_competitive_log,"[3941.938947, 3.779149, 0.085116]",14.186284672431585,-80.52413595028248,-74.24110226361618,true,60
50-50,fixed_mono_symmetric_alpha_log,[0.046386],20.539606581101676,-62.319370701858574,-60.225026139636476,true,60
50-50,fixed_mono_sharedK_log,[5456.610727],63.40206784362671,5.309114871156158,7.403459433378259,true,60
75-25,fixed_mono_competitive_death_log,"[3.325028, 0.000177, 0.034596, 0.199876]",13.385624532606691,-82.00979363181757,-73.63241538292917,true,60
75-25,fixed_mono_sharedK_symmetric_alpha_log,"[2422.382512, 0.374645]",18.24040994279544,-67.44230617367073,-63.25361704922653,true,60
75-25,fixed_mono_competitive_log,"[3.553217, 0.9152]",18.698759416955077,-65.95324291409267,-61.76455378964847,true,60
75-25,fixed_mono_sharedK_log,[3069.8862],20.096079042642227,-63.6291903214929,-61.5348457592708,true,60
75-25,fixed_mono_sharedK_competitive_log,"[2468.137773, 0.487271, 0.390304]",18.239609131412116,-65.44494042026527,-59.16190673359897,true,60
75-25,fixed_mono_symmetric_alpha_log,[0.784508],21.408173166561827,-59.83430736624773,-57.73996280402563,true,60
75-25,fixed_mono_sharedK_death_log,"[3436.259875, 0.083957, 0.0]",18.776946792230845,-63.70288075695893,-57.41984707029263,true,60
