density,mix,model,params,sse,aic,bic,converged
20k,25-75,fixed_mono_sharedK_competitive_log,"[502.901617, -1.357475, -0.488563]",10.391193764624251,-25.807160628435128,-21.60356848344866,true
20k,25-75,fixed_mono_sharedK_death_log,"[35440.087349, 0.491368, 0.0]",13.943917603623962,-16.98461947661078,-12.781027331624315,true
20k,25-75,fixed_mono_competitive_death_log,"[0.0, 0.0, 0.353314, 0.0]",16.20567672467128,-10.475073571050547,-4.8702840444019255,false
20k,25-75,fixed_mono_competitive_log,"[3.999991, 5.7e-5]",25.113867130338313,-1.333316383112959,1.4690783802113518,true
20k,25-75,fixed_mono_sharedK_log,[9851.045501],102.40310507291007,38.831589603834715,40.23278698549687,true
20k,25-75,fixed_mono_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
20k,25-75,fixed_mono_sharedK_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
20k,50-50,fixed_mono_competitive_death_log,"[0.0, 0.02719, 0.241637, 0.0]",4.465639798463894,-49.14354657009392,-43.538757043445294,true
20k,50-50,fixed_mono_sharedK_death_log,"[11283.240542, 0.358983, 0.0]",5.697199081339691,-43.83668150494677,-39.6330893599603,true
20k,50-50,fixed_mono_competitive_log,"[3.765673, 0.014479]",6.8262246707170275,-40.41276853266422,-37.61037376933991,true
20k,50-50,fixed_mono_sharedK_competitive_log,"[897.819176, -1.487319, -0.272001]",6.200174966224657,-41.29859608951442,-37.09500394452795,true
20k,50-50,fixed_mono_sharedK_log,[6084.134973],35.121123898722445,6.728161647943079,8.129359029605235,true
20k,50-50,fixed_mono_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
20k,50-50,fixed_mono_sharedK_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
20k,75-25,fixed_mono_competitive_death_log,"[3.99224, 0.000116, 0.02111, 0.202842]",7.832227141430625,-32.28851425418944,-26.683724727540813,true
20k,75-25,fixed_mono_sharedK_log,[2974.97364],11.601862224068292,-26.500952796305178,-25.099755414643024,true
20k,75-25,fixed_mono_competitive_log,"[3.886909, 0.948428]",11.108757705894682,-25.803908057417605,-23.001513294093293,true
20k,75-25,fixed_mono_sharedK_competitive_log,"[1979.881881, -0.626016, 0.262543]",10.618352688353319,-25.158404759124664,-20.9548126141382,true
20k,75-25,fixed_mono_sharedK_death_log,"[3270.900994, 0.072535, 0.0]",11.078983380115154,-23.88442371749226,-19.680831572505795,true
20k,75-25,fixed_mono_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
20k,75-25,fixed_mono_sharedK_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,25-75,fixed_mono_sharedK_death_log,"[54676.526771, 0.557629, 0.0]",18.379958414690062,-8.698095818029152,-4.494503673042686,true
30k,25-75,fixed_mono_competitive_death_log,"[0.0, 0.0, 0.431309, 0.0]",26.874103909170902,4.698972839456393,10.303762366105016,true
30k,25-75,fixed_mono_competitive_log,"[3.998104, 2.4e-5]",39.281761411422245,12.086888298051008,14.88928306137532,true
30k,25-75,fixed_mono_sharedK_log,[9273.082459],136.2783045746461,47.40505310910907,48.80625049077123,true
30k,25-75,fixed_mono_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,25-75,fixed_mono_sharedK_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,25-75,fixed_mono_sharedK_competitive_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,50-50,fixed_mono_sharedK_death_log,"[8749.918401, 0.359692, 0.0]",4.977461768110359,-47.88831917032823,-43.684727025341765,true
30k,50-50,fixed_mono_competitive_death_log,"[0.0, 0.167962, 0.269564, 0.0]",4.553326479475038,-48.560179642854905,-42.95539011620628,true
30k,50-50,fixed_mono_competitive_log,"[3.938521, 0.142362]",6.915075549103285,-40.02480473631709,-37.22240997299278,true
30k,50-50,fixed_mono_sharedK_competitive_log,"[986.292519, -1.476002, -0.208933]",6.884851270966966,-38.15621554823466,-33.9526234032482,true
30k,50-50,fixed_mono_sharedK_log,[4921.41666],28.066553205696156,0.0014362507235397004,1.4026336323856952,true
30k,50-50,fixed_mono_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,50-50,fixed_mono_sharedK_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,75-25,fixed_mono_competitive_death_log,"[2.248637, 0.0, 0.067954, 0.195174]",5.489288506235048,-42.95196198024918,-37.34717245360056,true
30k,75-25,fixed_mono_competitive_log,"[3.358845, 0.890382]",7.562583513052632,-37.33953545953663,-34.53714069621232,true
30k,75-25,fixed_mono_sharedK_log,[3161.793934],8.474403544638694,-35.92441327258082,-34.523215890918664,true
30k,75-25,fixed_mono_sharedK_competitive_log,"[3037.221751, 1.587725, 0.564498]",7.515707342125651,-35.52606716553771,-31.322475020551245,true
30k,75-25,fixed_mono_sharedK_death_log,"[3614.80651, 0.097418, 0.0]",7.6386505163808325,-35.03929284200735,-30.835700697020883,true
30k,75-25,fixed_mono_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
30k,75-25,fixed_mono_sharedK_symmetric_alpha_log,[],1.0e12,1.000000000002e12,1.0000000000034012e12,false
