cell_line,model,title,params,sse_raw,sse_norm,bic
naive,logistic_shared_rk,LOGISTIC,"[0.8794, 3971.1257]",1.048360753849443e6,0.05977661804993828,320.64862277550986
naive,logistic_allee_shared_rk,LOGISTIC + ALLEE,"[0.8824, 3970.1567, 1.0]",1.0569635117671515e6,0.060266154362529245,324.2949930059913
naive,theta_logistic_shared_rk,THETA-LOGISTIC (GENERAL LOGISTIC),"[1.222, 4070.4473, 0.5]",835491.0937652402,0.047645335198367236,317.2409197109553
naive,theta_logistic_allee_shared_rk,THETA-LOGISTIC + ALLEE,"[1.2257, 4069.2565, 0.5, 1.0]",837633.9549471876,0.047767668491833795,320.7189623596917
naive,general_logistic_shared_rk,GENERAL LOGISTIC (RICHARDS),"[1.222, 4070.4473, 0.5]",835491.0937656304,0.04764533519836717,317.24091971096937
naive,general_logistic_allee_shared_rk,GENERAL LOGISTIC + ALLEE,"[1.2257, 4069.2565, 0.5, 1.0]",837633.9540394397,0.04776766849184679,320.7189623271806
naive,gompertz_shared_rk,GOMPERTZ,"[0.3898, 4267.3142]",1.184232270824237e6,0.06744333944837058,324.30463080952916
naive,gompertz_allee_shared_rk,GOMPERTZ + ALLEE,"[0.4999, 4138.2137, 106.6029]",964723.3472732615,0.05500042271152715,321.55557026877653
naive,gompertz_theta_shared_rk,GENERALIZED GOMPERTZ,"[0.4372, 4055.4799, 0.7995]",960576.3126475757,0.054762075927954165,321.426331964978
naive,gompertz_theta_allee_shared_rk,GENERALIZED GOMPERTZ + ALLEE,"[1.7289, 4896.9387, 2.1991, 5000.0]",1.1064271989787882e6,0.06304747690872181,329.06826734712445
resistant,logistic_shared_rk,LOGISTIC,"[0.6024, 3955.48]",2.4161221886623492e6,0.13863947564236223,386.87739320448793
resistant,logistic_allee_shared_rk,LOGISTIC + ALLEE,"[0.7845, 3877.144, 91.7843]",1.924041219420159e6,0.11039470293793699,382.660727085873
resistant,theta_logistic_shared_rk,THETA-LOGISTIC (GENERAL LOGISTIC),"[0.4869, 3803.2015, 3.0794]",1.383449889765362e6,0.07939291097226639,371.4459128970331
resistant,theta_logistic_allee_shared_rk,THETA-LOGISTIC + ALLEE,"[0.4891, 3803.4647, 3.0469, 1.0]",1.3870490636902866e6,0.07959928881172199,375.0606127311706
resistant,general_logistic_shared_rk,GENERAL LOGISTIC (RICHARDS),"[0.4869, 3803.199, 3.0794]",1.383449911451355e6,0.07939291098533399,371.44591342999325
resistant,general_logistic_allee_shared_rk,GENERAL LOGISTIC + ALLEE,"[0.4891, 3803.4618, 3.0469, 1.0]",1.3870490599772055e6,0.07959928881106587,375.0606126401538
resistant,gompertz_shared_rk,GOMPERTZ,"[0.2621, 4361.9945]",6.220676193253791e6,0.3569477434757665,419.031695044926
resistant,gompertz_allee_shared_rk,GOMPERTZ + ALLEE,"[0.8054, 3874.7388, 777.2153]",2.279052527606815e6,0.13075245706287345,388.4180158577377
resistant,gompertz_theta_shared_rk,GENERALIZED GOMPERTZ,"[0.3524, 3838.8119, 0.5]",2.258168628041323e6,0.1295933610556113,388.1050235766661
resistant,gompertz_theta_allee_shared_rk,GENERALIZED GOMPERTZ + ALLEE,"[0.4644, 3764.9206, 0.5, 102.8721]",1.727329625908693e6,0.09912078495227161,382.52014923509705
