Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,100,0,0
1,3,277.1990353,62.67411334,36.18491621
2,3,512.5472607,140.9216848,81.36117264
3,3,810.4685957,176.7856905,102.067266
4,3,1072.597222,239.802528,138.4500541
5,3,1220.337539,181.1786973,104.6035697
6,3,1524.237886,160.7926829,92.83369878
7,3,1784.317361,195.4617783,112.8499103
8,3,1754.768094,169.482344,97.85067694
9,3,1630.943518,86.72949728,50.0732986
10,3,1765.695949,98.06425776,56.61742562
11,3,1797.057716,176.3205464,101.7987149
12,3,1664.883989,24.99546407,14.43113791
13,3,1869.518326,157.8264523,91.1211447
14,3,2521.753626,306.7300562,177.0906805
