Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,507.5015817,16.44500568,9.494528454
2,3,801.887693,39.90378691,23.03846211
3,3,1336.278318,129.4023949,74.71050751
4,3,1623.104938,196.8189022,113.6334462
5,3,2076.849113,140.5832824,81.16579593
6,3,2482.367593,414.4414107,239.27786
7,3,2895.899846,243.3406035,140.4927629
8,3,2949.133025,221.2873019,127.7602833
9,3,3220.295872,289.5681964,167.1822762
10,3,2758.770833,164.961092,95.2403309
11,3,3434.9652,336.2845662,194.1539848
12,3,3115.501775,299.9016864,173.1483194
13,3,3633.648958,214.1153996,123.6195836
14,3,3423.783179,207.9281336,120.0473639
