Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,246.8503087,129.601724,74.82559021
2,3,386.6241513,192.9251644,111.3853956
3,3,921.0547067,418.4677968,241.6024951
4,3,1594.845139,689.8558119,398.2884387
5,3,2628.855208,641.7504818,370.5148134
6,3,3034.912076,263.0501683,151.8720855
7,3,3462.906944,367.5581625,212.2098041
8,3,3405.064313,313.8400315,181.1956266
9,3,3755.234414,201.2282321,116.179174
10,3,3652.791281,187.6221989,108.3237271
11,3,4085.137269,94.77344529,54.71747415
12,3,4010.548148,102.8112532,59.3581047
13,3,4137.956713,105.9449598,61.16735108
14,3,4169.734799,138.6319969,80.03922072
