Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,73.88472,7.108298088,4.103977815
2,3,143.6446333,10.15779096,5.864603346
3,3,301.8758333,39.22609723,22.64719779
4,3,670.1066667,93.49924113,53.98181204
5,3,1170.911,210.8382984,121.7275483
6,3,1348.338,169.9120077,98.09874336
7,3,1881.76,85.34635079,49.2747386
8,3,1606.188667,40.15631678,23.1842603
9,3,2421.258333,72.70773172,41.97782848
10,3,1957.238333,146.6552277,84.6714352
11,3,2537.103333,183.0681606,105.6944518
12,3,2244.322667,219.384854,126.6619045
13,3,2827.442667,125.3187096,72.35279073
14,3,3433.938333,259.1167845,149.6011453
