Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,117.6211807,19.18313283,11.07538691
2,3,206.5297067,29.12241848,16.81383615
3,3,392.7975307,46.63500264,26.92473133
4,3,793.1631947,75.54445738,43.6156128
5,3,1328.350116,222.4913565,128.4554446
6,3,1947.658218,352.901961,203.7480422
7,3,2594.510609,258.4402704,149.2105597
8,3,2352.010648,59.27613201,34.22309077
9,3,3220.085031,216.3117012,124.8876189
10,3,2953.806752,224.4542534,129.5887236
11,3,3595.11142,160.6350957,92.74271572
12,3,2534.660455,169.3619822,97.78118603
13,3,3853.449229,266.0102732,153.5811028
14,3,4116.669907,56.83006844,32.81085531
