Day ,N Samples,Mean Cells,SD Cells,SEM Cells
0,3,99.8,0,0
1,3,80.43985333,21.2969529,12.29580149
2,3,140.1945603,34.59218021,19.97180456
3,3,246.1790123,68.73529172,39.68433918
4,3,504.2686343,114.2068735,65.93736916
5,3,917.9230323,215.4387683,124.3836308
6,3,1707.485031,208.1221734,120.1593928
7,3,2472.925849,207.7631046,119.9520844
8,3,3185.559259,76.92053585,44.41009208
9,3,3761.654668,75.55675428,43.62271242
10,3,3510.291435,50.51942406,29.16740308
11,3,4178.483796,21.1384988,12.20431797
12,3,3520.712192,67.30263192,38.85719266
13,3,4140.540625,43.98921238,25.39718361
14,3,3732.035031,102.3845526,59.111749
