Image,Cells µm^2
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_C1.tif,2526.6208333333334
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_C2.tif,2171.026388888889
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-0_C3.tif,2575.397916666667
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_C1.tif,1273.0770833333331
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_C2.tif,1249.7902777777776
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-1_C3.tif,1822.673611111111
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_C1.tif,2126.859027777778
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_C2.tif,2711.272916666667
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-2_C3.tif,2327.8381944444445
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_C1.tif,1710.2548611111113
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_C2.tif,1940.5
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-3_C3.tif,1839.9465277777776
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_C1.tif,2146.6569444444444
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_C2.tif,2164.452083333333
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-4_C3.tif,1866.8305555555555
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_C1.tif,2440.0
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_C2.tif,2552.2277777777776
A2780_20and30_IC50treatedF_Day10_250_TXR_Tile-5_C3.tif,2170.875
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_C1.tif,2276.655555555556
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_C2.tif,2324.448611111111
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-0_C3.tif,2244.075
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_C1.tif,1208.6458333333333
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_C2.tif,1027.2034722222222
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-1_C3.tif,2158.625
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-2_C1.tif,2183.449305555556
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-2_C2.tif,3038.479861111111
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-2_C3.tif,2254.176388888889
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-3_C1.tif,1577.6993055555556
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-3_C2.tif,2604.4375
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-3_C3.tif,2038.2520833333333
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-4_C1.tif,2060.5687500000004
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-4_C2.tif,2626.71875
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-4_C3.tif,2172.6875
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-5_C1.tif,2428.3527777777776
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-5_C2.tif,3012.4034722222223
A2780_20and30_IC50treatedF_Day11_250_TXR_Tile-5_C3.tif,2544.679861111111
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-0_C1.tif,3168.7215277777777
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-0_C2.tif,2997.6208333333334
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-0_C3.tif,2939.6902777777777
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-1_C1.tif,2024.707638888889
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-1_C2.tif,1874.5979166666664
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-1_C3.tif,2963.498611111111
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-2_C1.tif,2398.442361111111
A2780_20and30_IC50treatedF_Day12_250_TXR_Tile-2_C2.tif,3715.7395833333335
