Image,Cells µm^2
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_C4.tif,3042.461805555556
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_C5.tif,3294.1340277777776
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-0_C6.tif,3771.98125
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_C4.tif,2865.615277777777
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_C5.tif,3176.6506944444445
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-1_C6.tif,3494.0451388888887
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_C4.tif,3638.000694444445
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_C5.tif,3799.0805555555553
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-2_C6.tif,3709.28125
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_C4.tif,3351.073611111111
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_C5.tif,3344.636805555556
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-3_C6.tif,3745.681944444444
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_C4.tif,3229.583333333333
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_C5.tif,3227.079166666667
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-4_C6.tif,2939.327083333333
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_C4.tif,3274.858333333333
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_C5.tif,3006.128472222222
A2780cis_20and30_IC50treatedF_Day10_25_FITC_Tile-5_C6.tif,3484.1972222222225
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_C4.tif,2950.459027777777
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_C5.tif,3409.561805555556
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-0_C6.tif,2428.673611111112
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_C4.tif,3307.0687500000004
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_C5.tif,3495.360416666667
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-1_C6.tif,3448.7770833333334
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_C4.tif,3406.0909722222223
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_C5.tif,3800.1423611111113
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-2_C6.tif,3229.586805555556
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_C4.tif,3620.110416666667
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_C5.tif,3589.286111111111
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-3_C6.tif,3392.645138888889
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_C4.tif,3383.6229166666667
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_C5.tif,3487.886805555556
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-4_C6.tif,3495.699305555556
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_C4.tif,3428.9118055555555
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_C5.tif,3475.523611111111
A2780cis_20and30_IC50treatedF_Day11_25_FITC_Tile-5_C6.tif,3699.8145833333338
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_C4.tif,4098.387500000001
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_C5.tif,4308.118055555556
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-0_C6.tif,4270.867361111112
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_C4.tif,3818.85
A2780cis_20and30_IC50treatedF_Day12_25_FITC_Tile-1_C5.tif,3578.457638888889
