Image,Cells µm^2
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_A4.tif,3226.070138888889
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_A5.tif,2841.8034722222224
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-0_A6.tif,3388.257638888889
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_A4.tif,2844.7277777777776
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_A5.tif,3372.6076388888887
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-1_A6.tif,3417.6881944444444
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_A4.tif,3473.5875
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_A5.tif,3778.5805555555553
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-2_A6.tif,3889.4222222222224
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_A4.tif,3086.6541666666667
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_A5.tif,3326.8034722222224
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-3_A6.tif,3174.9437500000004
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_A4.tif,3454.5687500000004
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_A5.tif,3618.639583333333
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-4_A6.tif,3599.677777777777
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_A4.tif,3233.911111111111
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_A5.tif,3272.4104166666666
A2780cis_20and30_untreatedF_Day10_25_FITC_Tile-5_A6.tif,2817.6847222222223
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_A4.tif,2895.1312500000004
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_A5.tif,2323.6902777777777
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-0_A6.tif,1856.238888888889
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_A4.tif,3127.238194444444
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_A5.tif,2497.930555555556
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-1_A6.tif,2962.6666666666665
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_A4.tif,2275.9958333333334
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_A5.tif,2862.547222222222
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-2_A6.tif,3130.0597222222223
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-3_A4.tif,3228.6979166666665
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-3_A5.tif,2991.455555555556
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-3_A6.tif,2322.1701388888887
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-4_A4.tif,3007.4513888888887
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-4_A5.tif,3407.7840277777777
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-4_A6.tif,2927.284722222222
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-5_A4.tif,2797.159722222222
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-5_A5.tif,2989.109722222222
A2780cis_20and30_untreatedF_Day11_25_FITC_Tile-5_A6.tif,2311.9416666666666
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-0_A4.tif,4077.2208333333338
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-0_A5.tif,4027.014583333333
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-0_A6.tif,2900.802777777777
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-1_A4.tif,3961.0208333333335
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-1_A5.tif,4173.813194444444
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-1_A6.tif,3831.3611111111113
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-2_A4.tif,3565.8166666666666
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-2_A5.tif,4080.165972222223
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-2_A6.tif,4025.942361111111
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-3_A4.tif,4048.907638888888
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-3_A5.tif,4205.709027777778
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-3_A6.tif,3327.960416666667
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-4_A4.tif,3800.5756944444447
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-4_A5.tif,4010.214583333333
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-4_A6.tif,3816.011111111111
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-5_A4.tif,3526.770138888889
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-5_A5.tif,3829.7
A2780cis_20and30_untreatedF_Day12_25_FITC_Tile-5_A6.tif,3436.5270833333334
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-0_A4.tif,1212.85
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-0_A5.tif,1746.701388888889
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-0_A6.tif,2012.9979166666667
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-1_A4.tif,1897.5347222222224
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-1_A5.tif,2523.64375
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-1_A6.tif,3487.2444444444445
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-2_A4.tif,1688.290972222222
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-2_A5.tif,1278.8972222222224
A2780cis_20and30_untreatedF_Day13_25_FITC_Tile-2_A6.tif,826.7249999999999
