Day,Mean_Cells_um2,Std_Dev_Cells,Sample_Count,Std_Error_Cells,CI_95_Margin_Cells,CI_95_Lower_Cells,CI_95_Upper_Cells
1,164.70011574074073,20.031357935122287,3,11.5651098960766,22.667615396310133,142.0325003444306,187.36773113705087
2,233.16489197530868,26.200965994723862,3,15.127134770082051,29.649184149360824,203.51570782594783,262.8140761246695
3,441.27932098765433,38.25068998803264,3,22.08404616127957,43.28473047610796,397.9945905115464,484.5640514637623
4,554.4287808641975,39.14437157141338,3,22.600013464014246,44.29602638946792,510.1327544747296,598.7248072536654
5,817.1174768518518,69.71531093001563,3,40.25015353208298,78.89030092288264,738.2271759289692,896.0077777747344
6,925.9333333333334,91.75612333614625,3,52.97542250792053,103.83182811552425,822.1015052178092,1029.7651614488575
7,1270.178472222222,184.1371337154689,3,106.31162371843207,208.37078248812688,1061.8076897340952,1478.549254710349
8,1680.4403549382716,99.30291996836648,3,57.332567575052245,112.3718324471024,1568.0685224911692,1792.812187385374
9,1594.2043595679013,53.015768880277086,3,30.60866843432296,59.99299013127301,1534.2113694366285,1654.1973496991743
10,2089.7944444444443,48.068647085928816,3,27.752446334642123,54.39479481589856,2035.3996496285456,2144.1892392603427
11,2210.086612654321,242.5207592023749,3,140.01942560956357,274.4380741947446,1935.6485384595765,2484.524686849066
12,2859.6863425925926,245.39004098632347,3,141.67600621990715,277.684972191018,2582.0013704015746,3137.3713147836106
13,2545.273611111111,305.5831533024956,3,176.4285158190105,345.7998910052606,2199.4737201058506,2891.073502116372
14,2657.912692901235,316.99755211986616,3,183.01862204885717,358.71649921576,2299.196193685475,3016.629192116995
