Day,Well,Average_Area_um2,Tile_Count
1,C1,144.80300925925926,6
1,C2,184.86307870370368,6
1,C3,164.43425925925925,6
2,C1,207.44895833333337,6
2,C2,259.8253472222222,6
2,C3,232.22037037037038,6
3,C1,416.44687500000003,6
3,C2,485.32824074074074,6
3,C3,422.0628472222222,6
4,C1,518.350462962963,6
4,C2,596.0486111111111,6
4,C3,548.8872685185185,6
5,C1,782.3013888888889,6
5,C2,897.3833333333336,6
5,C3,771.6677083333333,6
6,C1,839.0469907407406,6
6,C2,1021.8861111111111,6
6,C3,916.8668981481482,6
7,C1,1073.16875,6
7,C2,1437.9427083333333,6
7,C3,1299.4239583333333,6
8,C1,1594.9952546296297,6
8,C2,1789.3854166666667,6
8,C3,1656.9403935185185,6
9,C1,1540.815625,6
9,C2,1646.8391203703704,6
9,C3,1594.9583333333333,6
10,C1,2037.2447916666667,6
10,C2,2131.544907407407,6
10,C3,2100.5936342592595,6
11,C1,1955.8952546296298,6
11,C2,2438.948611111111,6
11,C3,2235.4159722222225,6
12,C1,2592.4202546296297,6
12,C2,3074.8233796296295,6
12,C3,2911.8153935185182,6
13,C1,2204.8489583333335,6
13,C2,2795.8871527777774,6
13,C3,2635.0847222222224,6
14,C1,2313.9067129629634,6
14,C2,2938.2317129629632,6
14,C3,2721.599652777778,6
