Day,Mean_Cells_um2,Std_Dev_Cells,Sample_Count,Std_Error_Cells,CI_95_Margin_Cells,CI_95_Lower_Cells,CI_95_Upper_Cells
1,70.98599537037036,18.60913514802141,3,10.74398918709629,21.058218806708727,49.92777656366164,92.04421417707908
2,196.1864583333333,47.77771398420344,3,27.5844760300448,54.06557301888781,142.1208853144455,250.25203135222117
3,464.905362654321,112.27950387109648,3,64.82460178445518,127.05621949753215,337.84914315678884,591.9615821518531
4,1015.11824845679,170.3033725520716,3,98.32469798683968,192.71640805420571,822.4018404025842,1207.8346565109955
5,1867.4652391975303,182.72189604899052,3,105.49453587072352,206.76929030661807,1660.6959488909124,2074.2345295041487
6,1881.884953703704,138.21285379448085,3,79.7972283437099,156.40256755367142,1725.4823861500324,2038.2875212573751
7,2362.996334876543,51.14112551804859,3,29.526342584505795,57.87163146563135,2305.124703410912,2420.8679663421744
8,2316.59787808642,204.31199974468848,3,117.95958805126664,231.20079258048264,2085.397085505937,2547.7986706669026
9,2651.5717206790123,339.13683739342633,3,195.80074436121305,383.7694589479775,2267.802261731035,3035.3411796269897
10,2746.887345679012,225.6212988995952,3,130.26251765459426,255.31453460300477,2491.5728110760074,3002.2018802820166
11,2558.104089506173,202.80048781558213,3,117.08691623211377,229.49035581494292,2328.6137336912298,2787.594445321116
12,3088.9737268518525,161.3128224804834,3,93.1340014828454,182.54264290637695,2906.431083945476,3271.5163697582293
13,2453.483834876543,240.73425288601115,3,138.98798570690198,272.4164519855279,2181.067382891015,2725.900286862071
14,2533.0785879629625,120.81765331265882,3,69.75410466292246,136.718045139328,2396.3605428236347,2669.7966331022903
