Day,Well,Average_Area_um2,Tile_Count
1,A1,91.6224537037037,6
1,A2,65.85451388888889,6
1,A3,55.48101851851852,6
2,A1,251.15138888888887,6
2,A2,172.80914351851848,6
2,A3,164.5988425925926,6
3,A1,594.2997685185185,6
3,A2,407.2439814814815,6
3,A3,393.17233796296296,6
4,A1,1211.6631944444443,6
4,A2,911.2958333333332,6
4,A3,922.3957175925925,6
5,A1,2077.680555555555,6
5,A2,1777.991898148148,6
5,A3,1746.7232638888888,6
6,A1,2041.1175925925927,6
6,A2,1811.570138888889,6
6,A3,1792.9671296296294,6
7,A1,2417.753587962963,6
7,A2,2316.469675925926,6
7,A3,2354.765740740741,6
8,A1,2529.2928240740744,6
8,A2,2298.6474537037034,6
8,A3,2121.8533564814816,6
9,A1,2756.1608796296296,6
9,A2,2926.0945601851854,6
9,A3,2272.4597222222224,6
10,A1,2603.0096064814816,6
10,A2,3006.9202546296297,6
10,A3,2630.732175925926,6
11,A1,2442.6868055555556,6
11,A2,2792.270023148148,6
11,A3,2439.355439814815,6
12,A1,2943.0892361111114,6
12,A2,3262.2160879629632,6
12,A3,3061.6158564814814,6
13,A1,2725.848263888889,6
13,A2,2365.428472222222,6
13,A3,2269.1747685185187,6
14,A1,2637.077546296296,6
14,A2,2400.5491898148143,6
14,A3,2561.609027777778,6
