Day,Well,Average_Cells_um2,Tile_Count
1,C4,85.2730324074074,6
1,C5,75.38726851851852,6
1,C6,94.20543981481482,6
2,C4,136.7605324074074,6
2,C5,105.17326388888888,6
2,C6,138.13657407407408,6
3,C4,250.58946759259257,6
3,C5,208.7234953703704,6
3,C6,279.00868055555554,6
4,C4,514.9678240740741,6
4,C5,464.8706018518519,6
4,C6,526.1666666666666,6
5,C4,991.985648148148,6
5,C5,836.8466435185186,6
5,C6,1078.054398148148,6
6,C4,1545.6679398148146,6
6,C5,1335.05625,6
6,C6,1572.46712962963,6
7,C4,2110.3534722222225,6
7,C5,2007.2177083333331,6
7,C6,2532.579067460317,7
8,C4,2700.702199074074,6
8,C5,2471.9861111111118,6
8,C6,2898.794907407408,6
9,C4,2508.009375,6
9,C5,2069.6520833333334,6
9,C6,2117.2238425925925,6
10,C4,3233.598842592592,6
10,C5,3307.95162037037,6
10,C6,3524.085648148148,6
11,C4,3349.3773148148152,6
11,C5,3542.9601851851853,6
11,C6,3282.5327546296303,6
12,C4,4053.972337962963,6
12,C5,4093.141898148149,6
12,C6,4147.578819444444,6
13,C4,2777.9366898148146,6
13,C5,2221.627777777778,6
13,C6,2769.2525462962963,6
14,C4,3498.4153935185186,6
14,C5,3106.7644675925926,6
14,C6,3473.803587962963,6
