Day,Well,Average_Cells_um2,Tile_Count
1,A4,43.65671296296296,6
1,A5,44.112268518518526,6
1,A6,43.637962962962966,6
2,A4,81.09780092592592,6
2,A5,84.05844907407408,6
2,A6,78.39837962962963,6
3,A4,144.13229166666665,6
3,A5,154.72916666666666,6
3,A6,159.33969907407408,6
4,A4,288.3340277777777,6
4,A5,278.65300925925925,6
4,A6,263.98171296296294,6
5,A4,657.2306712962962,6
5,A5,649.9201388888888,6
5,A6,695.4461805555555,6
6,A4,1103.1034722222223,6
6,A5,1077.9215277777778,6
6,A6,1130.0265046296297,6
7,A4,1919.077199074074,6
7,A5,1945.9010416666667,6
7,A6,1982.102314814815,6
8,A4,2505.931828703704,6
8,A5,2450.2908564814816,6
8,A6,2466.018865740741,6
9,A4,2291.886342592593,6
9,A5,2506.3250000000003,6
9,A6,2580.2846064814817,6
10,A4,3219.919907407408,6
10,A5,3368.474189814815,6
10,A6,3381.279050925926,6
11,A4,2888.612384259259,6
11,A5,2845.4195601851857,6
11,A6,2585.060300925926,6
12,A4,3830.051967592593,6
12,A5,4054.436226851852,6
12,A6,3556.4341435185183,6
13,A4,2299.0681712962964,6
13,A5,2056.992361111111,6
13,A6,2202.4003472222225,6
14,A4,3165.127199074074,6
14,A5,3678.465046296296,6
14,A6,3413.721412037037,6
