Image,Cells µm^2
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_B1.tif,2838.473611111111
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_B2.tif,3107.2562500000004
A2780_20and30_untreatedF_Day10_250_TXR_Tile-0_B3.tif,2587.355555555556
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_B1.tif,2560.53125
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_B2.tif,2971.0222222222224
A2780_20and30_untreatedF_Day10_250_TXR_Tile-1_B3.tif,3236.71875
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_B1.tif,2703.265972222222
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_B2.tif,2846.770138888889
A2780_20and30_untreatedF_Day10_250_TXR_Tile-2_B3.tif,2733.427083333333
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_B1.tif,3039.2277777777776
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_B2.tif,3005.429861111111
A2780_20and30_untreatedF_Day10_250_TXR_Tile-3_B3.tif,2888.383333333333
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_B1.tif,2757.052083333333
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_B2.tif,2985.618055555556
A2780_20and30_untreatedF_Day10_250_TXR_Tile-4_B3.tif,2734.608333333333
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_B1.tif,2111.949305555556
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_B2.tif,2729.483333333333
A2780_20and30_untreatedF_Day10_250_TXR_Tile-5_B3.tif,2751.4118055555555
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_B1.tif,2546.39375
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_B2.tif,2166.892361111112
A2780_20and30_untreatedF_Day11_250_TXR_Tile-0_B3.tif,2034.326388888889
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_B1.tif,2306.7597222222225
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_B2.tif,2018.16875
A2780_20and30_untreatedF_Day11_250_TXR_Tile-1_B3.tif,1813.2277777777776
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_B1.tif,2798.4826388888887
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_B2.tif,2809.258333333333
A2780_20and30_untreatedF_Day11_250_TXR_Tile-2_B3.tif,3103.542361111111
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_B1.tif,2781.467361111111
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_B2.tif,2909.811111111111
A2780_20and30_untreatedF_Day11_250_TXR_Tile-3_B3.tif,3032.208333333333
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_B1.tif,3243.5333333333333
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_B2.tif,2567.0354166666666
A2780_20and30_untreatedF_Day11_250_TXR_Tile-4_B3.tif,2591.488888888889
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_B1.tif,2700.7756944444445
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_B2.tif,2731.4201388888887
A2780_20and30_untreatedF_Day11_250_TXR_Tile-5_B3.tif,2409.838888888889
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_B1.tif,2967.4104166666666
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_B2.tif,3159.148611111111
A2780_20and30_untreatedF_Day12_250_TXR_Tile-0_B3.tif,3112.043055555556
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_B1.tif,2612.08125
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_B2.tif,2643.709027777777
A2780_20and30_untreatedF_Day12_250_TXR_Tile-1_B3.tif,2894.274305555556
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_B1.tif,3158.9437500000004
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_B2.tif,3434.548611111112
A2780_20and30_untreatedF_Day12_250_TXR_Tile-2_B3.tif,3617.3166666666666
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_B1.tif,2931.7256944444443
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_B2.tif,3136.6590277777777
A2780_20and30_untreatedF_Day12_250_TXR_Tile-3_B3.tif,3512.9437500000004
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_B1.tif,3022.6076388888887
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_B2.tif,2924.7208333333333
A2780_20and30_untreatedF_Day12_250_TXR_Tile-4_B3.tif,3018.8791666666666
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_B1.tif,2669.99375
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_B2.tif,2839.983333333333
A2780_20and30_untreatedF_Day12_250_TXR_Tile-5_B3.tif,2767.305555555556
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_B1.tif,1390.1902777777775
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_B2.tif,1028.3076388888887
A2780_20and30_untreatedF_Day13_250_TXR_Tile-0_B3.tif,1354.2694444444444
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_B1.tif,1885.1583333333333
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_B2.tif,2505.242361111111
A2780_20and30_untreatedF_Day13_250_TXR_Tile-1_B3.tif,1903.8659722222224
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_B1.tif,1787.3909722222222
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_B2.tif,2409.157638888889
A2780_20and30_untreatedF_Day13_250_TXR_Tile-2_B3.tif,927.8777777777776
A2780_20and30_untreatedF_Day13_250_TXR_Tile-3_B1.tif,1591.0958333333333
A2780_20and30_untreatedF_Day13_250_TXR_Tile-3_B2.tif,1305.7069444444444
A2780_20and30_untreatedF_Day13_250_TXR_Tile-3_B3.tif,2050.0895833333334
A2780_20and30_untreatedF_Day13_250_TXR_Tile-4_B1.tif,2863.3125
A2780_20and30_untreatedF_Day13_250_TXR_Tile-4_B2.tif,3164.827083333333
A2780_20and30_untreatedF_Day13_250_TXR_Tile-4_B3.tif,3269.436805555556
A2780_20and30_untreatedF_Day13_250_TXR_Tile-5_B1.tif,2446.9166666666665
A2780_20and30_untreatedF_Day13_250_TXR_Tile-5_B2.tif,2153.824305555556
A2780_20and30_untreatedF_Day13_250_TXR_Tile-5_B3.tif,2733.734027777778
A2780_20and30_untreatedF_Day14_250_TXR_Tile-0_B1.tif,2357.5270833333334
A2780_20and30_untreatedF_Day14_250_TXR_Tile-0_B2.tif,2014.2993055555555
A2780_20and30_untreatedF_Day14_250_TXR_Tile-0_B3.tif,1918.3381944444443
A2780_20and30_untreatedF_Day14_250_TXR_Tile-1_B1.tif,2001.1465277777777
A2780_20and30_untreatedF_Day14_250_TXR_Tile-1_B2.tif,2822.516666666667
A2780_20and30_untreatedF_Day14_250_TXR_Tile-1_B3.tif,1782.0090277777776
A2780_20and30_untreatedF_Day14_250_TXR_Tile-2_B1.tif,2856.067361111111
A2780_20and30_untreatedF_Day14_250_TXR_Tile-2_B2.tif,2791.7
A2780_20and30_untreatedF_Day14_250_TXR_Tile-2_B3.tif,1952.305555555556
A2780_20and30_untreatedF_Day14_250_TXR_Tile-3_B1.tif,2310.615277777777
A2780_20and30_untreatedF_Day14_250_TXR_Tile-3_B2.tif,2241.7854166666666
A2780_20and30_untreatedF_Day14_250_TXR_Tile-3_B3.tif,2006.436805555556
A2780_20and30_untreatedF_Day14_250_TXR_Tile-4_B1.tif,3458.4909722222224
A2780_20and30_untreatedF_Day14_250_TXR_Tile-4_B2.tif,2416.699305555556
A2780_20and30_untreatedF_Day14_250_TXR_Tile-4_B3.tif,3156.2527777777777
A2780_20and30_untreatedF_Day14_250_TXR_Tile-5_B1.tif,3000.097222222222
A2780_20and30_untreatedF_Day14_250_TXR_Tile-5_B2.tif,2591.972222222222
A2780_20and30_untreatedF_Day14_250_TXR_Tile-5_B3.tif,2982.330555555556
A2780_20and30_untreatedF_Day1_250_TXR_Tile-0_B1.tif,99.52708333333334
A2780_20and30_untreatedF_Day1_250_TXR_Tile-0_B2.tif,129.54305555555555
A2780_20and30_untreatedF_Day1_250_TXR_Tile-0_B3.tif,59.6375
A2780_20and30_untreatedF_Day1_250_TXR_Tile-1_B1.tif,66.32152777777777
A2780_20and30_untreatedF_Day1_250_TXR_Tile-1_B2.tif,85.8763888888889
A2780_20and30_untreatedF_Day1_250_TXR_Tile-1_B3.tif,109.0611111111111
A2780_20and30_untreatedF_Day1_250_TXR_Tile-2_B1.tif,102.89166666666668
A2780_20and30_untreatedF_Day1_250_TXR_Tile-2_B2.tif,140.78472222222223
A2780_20and30_untreatedF_Day1_250_TXR_Tile-2_B3.tif,64.02222222222223
A2780_20and30_untreatedF_Day1_250_TXR_Tile-3_B1.tif,116.97569444444444
A2780_20and30_untreatedF_Day1_250_TXR_Tile-3_B2.tif,99.35416666666669
A2780_20and30_untreatedF_Day1_250_TXR_Tile-3_B3.tif,78.24722222222222
A2780_20and30_untreatedF_Day1_250_TXR_Tile-4_B1.tif,75.53472222222223
A2780_20and30_untreatedF_Day1_250_TXR_Tile-4_B2.tif,103.98194444444444
A2780_20and30_untreatedF_Day1_250_TXR_Tile-4_B3.tif,39.21180555555556
A2780_20and30_untreatedF_Day1_250_TXR_Tile-5_B1.tif,83.13611111111112
A2780_20and30_untreatedF_Day1_250_TXR_Tile-5_B2.tif,77.56319444444445
A2780_20and30_untreatedF_Day1_250_TXR_Tile-5_B3.tif,70.45902777777778
A2780_20and30_untreatedF_Day2_250_TXR_Tile-0_B1.tif,206.74652777777777
A2780_20and30_untreatedF_Day2_250_TXR_Tile-0_B2.tif,364.9166666666667
A2780_20and30_untreatedF_Day2_250_TXR_Tile-0_B3.tif,173.10069444444446
A2780_20and30_untreatedF_Day2_250_TXR_Tile-1_B1.tif,245.0625
A2780_20and30_untreatedF_Day2_250_TXR_Tile-1_B2.tif,227.1902777777778
A2780_20and30_untreatedF_Day2_250_TXR_Tile-1_B3.tif,289.2090277777777
A2780_20and30_untreatedF_Day2_250_TXR_Tile-2_B1.tif,236.73125
A2780_20and30_untreatedF_Day2_250_TXR_Tile-2_B2.tif,428.91041666666666
A2780_20and30_untreatedF_Day2_250_TXR_Tile-2_B3.tif,194.04861111111111
A2780_20and30_untreatedF_Day2_250_TXR_Tile-3_B1.tif,321.96944444444443
A2780_20and30_untreatedF_Day2_250_TXR_Tile-3_B2.tif,249.23472222222225
A2780_20and30_untreatedF_Day2_250_TXR_Tile-3_B3.tif,243.76805555555555
A2780_20and30_untreatedF_Day2_250_TXR_Tile-4_B1.tif,303.7902777777778
A2780_20and30_untreatedF_Day2_250_TXR_Tile-4_B2.tif,242.9319444444444
A2780_20and30_untreatedF_Day2_250_TXR_Tile-4_B3.tif,140.39305555555555
A2780_20and30_untreatedF_Day2_250_TXR_Tile-5_B1.tif,358.12291666666664
A2780_20and30_untreatedF_Day2_250_TXR_Tile-5_B2.tif,248.50138888888887
A2780_20and30_untreatedF_Day2_250_TXR_Tile-5_B3.tif,221.19375
A2780_20and30_untreatedF_Day3_250_TXR_Tile-0_B1.tif,567.8111111111111
A2780_20and30_untreatedF_Day3_250_TXR_Tile-0_B2.tif,799.6819444444444
A2780_20and30_untreatedF_Day3_250_TXR_Tile-0_B3.tif,513.1395833333333
A2780_20and30_untreatedF_Day3_250_TXR_Tile-1_B1.tif,633.8541666666666
A2780_20and30_untreatedF_Day3_250_TXR_Tile-1_B2.tif,510.97013888888887
A2780_20and30_untreatedF_Day3_250_TXR_Tile-1_B3.tif,716.3909722222222
A2780_20and30_untreatedF_Day3_250_TXR_Tile-2_B1.tif,617.2625
A2780_20and30_untreatedF_Day3_250_TXR_Tile-2_B2.tif,955.7986111111112
A2780_20and30_untreatedF_Day3_250_TXR_Tile-2_B3.tif,503.0375
A2780_20and30_untreatedF_Day3_250_TXR_Tile-3_B1.tif,786.825
A2780_20and30_untreatedF_Day3_250_TXR_Tile-3_B2.tif,614.25
A2780_20and30_untreatedF_Day3_250_TXR_Tile-3_B3.tif,609.5944444444444
A2780_20and30_untreatedF_Day3_250_TXR_Tile-4_B1.tif,690.8784722222222
A2780_20and30_untreatedF_Day3_250_TXR_Tile-4_B2.tif,666.1173611111111
A2780_20and30_untreatedF_Day3_250_TXR_Tile-4_B3.tif,309.3069444444444
A2780_20and30_untreatedF_Day3_250_TXR_Tile-5_B1.tif,842.0506944444445
A2780_20and30_untreatedF_Day3_250_TXR_Tile-5_B2.tif,609.0125
A2780_20and30_untreatedF_Day3_250_TXR_Tile-5_B3.tif,457.61805555555554
A2780_20and30_untreatedF_Day4_250_TXR_Tile-0_B1.tif,1170.8486111111113
A2780_20and30_untreatedF_Day4_250_TXR_Tile-0_B2.tif,1372.0993055555557
A2780_20and30_untreatedF_Day4_250_TXR_Tile-0_B3.tif,951.3791666666668
A2780_20and30_untreatedF_Day4_250_TXR_Tile-1_B1.tif,986.813888888889
A2780_20and30_untreatedF_Day4_250_TXR_Tile-1_B2.tif,1167.0145833333331
A2780_20and30_untreatedF_Day4_250_TXR_Tile-1_B3.tif,1451.3729166666667
A2780_20and30_untreatedF_Day4_250_TXR_Tile-2_B1.tif,1346.0513888888888
A2780_20and30_untreatedF_Day4_250_TXR_Tile-2_B2.tif,1699.959027777778
A2780_20and30_untreatedF_Day4_250_TXR_Tile-2_B3.tif,983.325
A2780_20and30_untreatedF_Day4_250_TXR_Tile-3_B1.tif,1726.0395833333334
A2780_20and30_untreatedF_Day4_250_TXR_Tile-3_B2.tif,1384.8118055555556
A2780_20and30_untreatedF_Day4_250_TXR_Tile-3_B3.tif,1382.5715277777776
A2780_20and30_untreatedF_Day4_250_TXR_Tile-4_B1.tif,1367.228472222222
A2780_20and30_untreatedF_Day4_250_TXR_Tile-4_B2.tif,1502.7854166666666
A2780_20and30_untreatedF_Day4_250_TXR_Tile-4_B3.tif,713.4381944444444
A2780_20and30_untreatedF_Day4_250_TXR_Tile-5_B1.tif,1206.3180555555557
A2780_20and30_untreatedF_Day4_250_TXR_Tile-5_B2.tif,1448.826388888889
A2780_20and30_untreatedF_Day4_250_TXR_Tile-5_B3.tif,1063.2125
A2780_20and30_untreatedF_Day5_250_TXR_Tile-0_B1.tif,2126.1784722222224
A2780_20and30_untreatedF_Day5_250_TXR_Tile-0_B2.tif,2520.5680555555555
A2780_20and30_untreatedF_Day5_250_TXR_Tile-0_B3.tif,1939.011111111111
A2780_20and30_untreatedF_Day5_250_TXR_Tile-1_B1.tif,2079.7215277777777
A2780_20and30_untreatedF_Day5_250_TXR_Tile-1_B2.tif,1453.5180555555555
A2780_20and30_untreatedF_Day5_250_TXR_Tile-1_B3.tif,2240.378472222222
A2780_20and30_untreatedF_Day5_250_TXR_Tile-2_B1.tif,2113.868055555556
A2780_20and30_untreatedF_Day5_250_TXR_Tile-2_B2.tif,2064.865277777777
