Day,Well,Average_Cells_um2,Tile_Count
1,B1,90.73113425925926,6
1,B2,106.18391203703705,6
1,B3,70.10648148148148,6
2,B1,278.7371527777778,6
2,B2,293.6142361111111,6
2,B3,210.28553240740737,6
3,B1,689.7803240740741,6
3,B2,692.6384259259258,6
3,B3,518.18125,6
4,B1,1300.55,6
4,B2,1429.2494212962963,6
4,B3,1090.8832175925927,6
5,B1,2031.3101851851848,6
5,B2,2099.982060185185,6
5,B3,1831.0803240740745,6
6,B1,1943.261574074074,6
6,B2,1993.1054398148144,6
6,B3,1904.6909722222224,6
7,B1,2336.030787037037,6
7,B2,2375.187615740741,6
7,B3,2411.635185185185,6
8,B1,2342.221180555556,6
8,B2,2358.8219907407406,6
8,B3,2211.6702546296297,6
9,B1,2779.7244212962964,6
9,B2,2786.8775462962967,6
9,B3,2711.6177083333337,6
10,B1,2668.4166666666665,6
10,B2,2940.929976851852,6
10,B3,2821.9841435185185,6
11,B1,2729.56875,6
11,B2,2533.764351851852,6
11,B3,2497.438773148148,6
12,B1,2893.7937500000003,6
12,B2,3023.128240740741,6
12,B3,3153.7937500000003,6
13,B1,1994.0107638888887,6
13,B2,2094.5109953703704,6
13,B3,2039.8789351851851,6
14,B1,2663.9907407407404,6
14,B2,2479.8288194444444,6
14,B3,2299.612152777778,6
