Day,Mean_Area_um2,Std_Dev_um2,Sample_Count,Std_Error_um2,CI_95_Margin_um2,CI_95_Lower_um2,CI_95_Upper_um2
1,68.5091049382716,19.029436767425597,3,10.98665044020013,21.533834862792254,46.97527007547935,90.04293980106385
2,126.12912808641977,34.774366470559656,3,20.076989842676312,39.35090009164557,86.7782279947742,165.48002817806534
3,234.83645833333333,63.80112631210941,3,36.83559745089769,72.19777100375947,162.63868732957386,307.0342293370928
4,428.72820216049377,88.46644623891608,3,51.07612655028775,100.10920803856399,328.61899412192975,528.8374101990578
5,944.1238811728394,183.78364305328128,3,106.10753578946203,207.97077014734558,736.1531110254939,1152.094651320185
6,1407.510648148148,277.7546500704721,3,160.3617219868574,314.30897509424045,1093.2016730539076,1721.8196232423884
7,2379.2515817901235,313.360751016965,3,180.91891395310807,354.6010713480918,2024.6505104420316,2733.8526531382154
8,2812.031828703704,264.0377412744014,3,152.4422610009964,298.78683156195297,2513.244997141751,3110.818660265657
9,2638.9609567901234,382.2800258374941,3,220.70947582309432,432.59057261326484,2206.3703841768584,3071.5515294033885
10,3722.137152777778,279.83816340653334,3,161.5646389722925,316.6666923856933,3405.4704603920845,4038.803845163471
11,2365.9791666666665,305.04193477377214,3,176.11604315576162,345.1874445852928,2020.7917220813738,2711.1666112519592
12,3735.9834104938273,8.726821839284643,3,5.038432938080893,9.87532855863855,3726.1080819351887,3745.858739052466
13,1846.0087191358025,291.7465212923386,3,168.43993260326857,330.1422679024064,1515.8664512333962,2176.1509870382088
14,3233.780709876543,237.29153450487763,3,137.00033132281047,268.5206493927085,2965.2600604838344,3502.3013592692514
