Day,Well,Average_Area_um2,Tile_Count
1,B4,53.9619212962963,6
1,B5,61.5207175925926,6
1,B6,90.04467592592592,6
2,B4,101.63668981481482,6
2,B5,110.81909722222223,6
2,B6,165.93159722222222,6
3,B4,183.42939814814815,6
3,B5,214.83912037037035,6
3,B6,306.2408564814815,6
4,B4,362.9716435185185,6
4,B5,393.9059027777778,6
4,B6,529.3070601851852,6
5,B4,808.5855324074073,6
5,B5,870.4771990740741,6
5,B6,1153.308912037037,6
6,B4,1220.4090277777777,6
6,B5,1275.4680555555556,6
6,B6,1726.6548611111111,6
7,B4,2118.500810185185,6
7,B5,2292.367361111111,6
7,B6,2726.8865740740744,6
8,B4,2545.619212962963,6
8,B5,2816.8474537037036,6
8,B6,3073.6288194444446,6
9,B4,2277.253935185185,6
9,B5,2600.6934027777775,6
9,B6,3038.9355324074077,6
10,B4,3467.6693287037037,6
10,B5,3676.906597222222,6
10,B6,4021.8355324074073,6
11,B4,2577.608449074074,6
11,B5,2504.0094907407406,6
11,B6,2016.319560185185,6
12,B4,3732.0658564814817,6
12,B5,3729.9018518518515,6
12,B6,3745.982523148148,6
13,B4,1575.317013888889,6
13,B5,1807.6866898148148,6
13,B6,2155.022453703704,6
14,B4,3340.790277777778,6
14,B5,2961.8291666666664,6
14,B6,3398.722685185185,6
