source_file,Day,day_mean_value,day_sd,n_wells,day_sem
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,1,88.59,26.7688,6,10.9283
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,2,143.34,60.8369,6,24.8366
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,3,247.63,95.9075,6,39.1541
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,4,494.31,149.4872,6,61.0279
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,5,903.37,325.0034,6,132.6821
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,6,1360.1,374.8431,6,153.0291
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,7,2438.38,527.2295,6,215.2405
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,8,1945.32,355.0453,6,144.9466
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,9,3250.29,538.4011,6,219.8013
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,10,3135.64,433.0118,6,176.7763
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,11,3987.59,218.8077,6,89.3279
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,12,2308.25,639.3111,6,260.9977
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,13,3826.77,478.3175,6,195.2723
measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,14,2159.37,352.6484,6,143.9681
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,1,51.28,13.1044,6,5.3498
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,2,89.81,16.1243,6,6.5827
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,3,141.96,28.7898,6,11.7534
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,4,269.67,61.5311,6,25.12
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,5,503.14,103.4387,6,42.2287
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,6,640.24,96.8774,6,39.55
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,7,1228.76,248.9051,6,101.6151
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,8,1159.74,140.842,6,57.4985
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,9,2141.54,360.7801,6,147.2879
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,10,2331.9,356.7588,6,145.6462
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,11,3319.13,358.9862,6,146.5555
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,12,1939.12,607.9924,6,248.2119
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,13,3037.84,382.161,6,156.0166
measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,14,1923.26,261.9003,6,106.9203
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,1,26.93,7.7126,6,3.1487
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,2,42.1,12.8455,6,5.2442
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,3,64.44,32.5796,6,13.3006
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,4,128.0,43.2029,6,17.6375
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,5,186.15,73.3858,6,29.9596
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,6,262.4,63.8264,6,26.057
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,7,430.88,102.773,6,41.9569
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,8,525.69,166.5394,6,67.9894
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,9,900.48,256.6713,6,104.7856
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,10,1261.5,239.4052,6,97.7368
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,11,1896.8,306.6889,6,125.2052
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,12,1271.07,432.5403,6,176.5838
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,13,2274.65,514.4761,6,210.034
measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,14,1507.98,386.3869,6,157.7418
