source_file,Day,Well,mean_value,n_tiles,n_channels
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,A3,87.19,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,A6,103.33,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,B3,36.64,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,B6,93.09,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,C3,100.0,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,1,C6,111.27,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,A3,102.11,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,A6,215.7,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,B3,44.89,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,B6,157.62,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,C3,158.26,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,2,C6,181.43,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,A3,208.65,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,A6,339.4,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,B3,72.85,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,B6,283.35,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,C3,274.84,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,3,C6,306.67,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,A3,471.08,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,A6,653.1,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,B3,225.69,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,B6,566.29,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,C3,466.64,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,4,C6,583.05,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,A3,668.41,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,A6,1220.63,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,B3,385.35,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,B6,1123.51,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,C3,884.22,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,5,C6,1138.11,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,A3,1150.47,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,A6,1713.55,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,B3,817.22,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,B6,1654.23,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,C3,1141.51,3,1
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,6,C6,1683.6,3,1
