Image,Cells µm^2
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_A3.tif,3446.43125
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_A6.tif,3718.6111111111113
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_B3.tif,3100.015277777778
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_B6.tif,2504.4979166666667
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_C3.tif,2689.629861111111
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-0_C6.tif,2561.4972222222223
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_A3.tif,2449.198611111111
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_A6.tif,3954.5875
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_B3.tif,2653.733333333333
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_B6.tif,2564.682638888889
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_C3.tif,2418.5965277777777
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-1_C6.tif,2418.925
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_A3.tif,3663.540972222223
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_A6.tif,4214.636805555555
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_B3.tif,3588.6618055555555
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_B6.tif,3610.48125
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_C3.tif,3502.3409722222223
25-75_A2780_20and30_IC50treat_Day10_FITC_Tile-2_C6.tif,3381.460416666667
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_A3.tif,4119.754861111111
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_A6.tif,4394.036805555556
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_B3.tif,4038.1145833333335
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_B6.tif,3965.733333333333
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_C3.tif,3847.8152777777777
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-0_C6.tif,3975.7680555555553
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_A3.tif,3426.0444444444447
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_A6.tif,4332.667361111111
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_B3.tif,3586.976388888889
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_B6.tif,3928.027777777778
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_C3.tif,3185.9375
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-1_C6.tif,3574.8527777777776
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_A3.tif,4095.31875
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_A6.tif,4397.779166666666
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_B3.tif,4155.210416666667
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_B6.tif,4295.356250000001
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_C3.tif,4150.755555555556
25-75_A2780_20and30_IC50treat_Day11_FITC_Tile-2_C6.tif,4306.393055555555
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-0_A3.tif,1789.3104166666667
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-0_A6.tif,1580.990277777778
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-0_B3.tif,2034.36875
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-0_B6.tif,2450.0944444444444
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-0_C3.tif,1843.2229166666664
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-0_C6.tif,3619.2006944444447
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-1_A3.tif,2846.6569444444444
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-1_A6.tif,2414.4875
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-1_B3.tif,2832.347222222222
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-1_B6.tif,2590.4979166666667
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-1_C3.tif,2323.345138888889
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-1_C6.tif,2882.429861111111
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-2_A3.tif,2139.0138888888887
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-2_A6.tif,1557.4465277777776
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-2_B3.tif,1464.1979166666667
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-2_B6.tif,1840.9444444444443
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-2_C3.tif,1210.3527777777776
25-75_A2780_20and30_IC50treat_Day12_FITC_Tile-2_C6.tif,4129.5569444444445
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-0_A3.tif,2930.265277777778
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-0_A6.tif,4020.383333333333
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-0_B3.tif,3351.8145833333333
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-0_B6.tif,4065.5173611111113
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-0_C3.tif,3540.663888888889
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-0_C6.tif,4390.322916666667
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-1_A3.tif,3806.931944444444
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-1_A6.tif,4294.076388888889
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-1_B3.tif,3706.125
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-1_B6.tif,4352.704861111111
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-1_C3.tif,2935.609027777778
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-1_C6.tif,4355.950000000001
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-2_A3.tif,3669.2125
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-2_A6.tif,4294.047916666666
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-2_B3.tif,3753.032638888888
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-2_B6.tif,3968.636111111111
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-2_C3.tif,3047.657638888889
25-75_A2780_20and30_IC50treat_Day13_FITC_Tile-2_C6.tif,4398.981944444445
25-75_A2780_20and30_IC50treat_Day14_FITC_Tile-0_A3.tif,1232.2777777777778
25-75_A2780_20and30_IC50treat_Day14_FITC_Tile-0_A6.tif,2859.4006944444445
25-75_A2780_20and30_IC50treat_Day14_FITC_Tile-0_B3.tif,1780.1888888888889
25-75_A2780_20and30_IC50treat_Day14_FITC_Tile-0_B6.tif,1036.2611111111112
