Image,Cells µm^2
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_A1.tif,1544.1631944444443
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_A4.tif,2367.054166666667
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_B1.tif,2053.588888888889
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_B4.tif,2578.7208333333333
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_C1.tif,2023.6777777777777
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-0_C4.tif,2174.0881944444445
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_A1.tif,2145.5569444444445
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_A4.tif,2488.6076388888887
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_B1.tif,1199.8840277777776
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_B4.tif,2300.5944444444444
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_C1.tif,2013.6645833333328
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-1_C4.tif,2564.3756944444444
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_A1.tif,1300.5395833333334
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_A4.tif,3064.7326388888887
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_B1.tif,1284.0993055555557
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_B4.tif,3333.4729166666666
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_C1.tif,1815.1256944444444
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-2_C4.tif,2225.0381944444443
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_A1.tif,1739.111111111111
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_A4.tif,2270.1125
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_B1.tif,2329.3409722222223
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_B4.tif,2719.1381944444447
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_C1.tif,1956.608333333333
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-0_C4.tif,2347.051388888889
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_A1.tif,2376.4118055555555
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_A4.tif,2332.5722222222225
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_B1.tif,1366.8930555555555
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_B4.tif,2239.235416666667
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_C1.tif,1807.1118055555555
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-1_C4.tif,2400.4034722222223
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_A1.tif,1422.4041666666667
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_A4.tif,2427.36875
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_B1.tif,1293.4395833333333
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_B4.tif,3465.305555555556
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_C1.tif,1459.4506944444445
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-2_C4.tif,2441.6541666666667
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-0_A1.tif,767.1861111111111
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-0_A4.tif,1711.4013888888887
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-0_B1.tif,1194.5902777777778
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-0_B4.tif,2231.461111111111
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-0_C1.tif,1774.7958333333331
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-0_C4.tif,1361.6729166666669
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-1_A1.tif,1497.9847222222222
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-1_A4.tif,2578.780555555556
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-1_B1.tif,970.4618055555557
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-1_B4.tif,2488.834027777777
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-1_C1.tif,2454.274305555556
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-1_C4.tif,1188.322222222222
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-2_A1.tif,1384.4979166666667
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-2_A4.tif,1387.4854166666669
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-2_B1.tif,658.245138888889
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-2_B4.tif,1268.742361111111
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-2_C1.tif,1262.0930555555556
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-2_C4.tif,822.6333333333333
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-0_A1.tif,979.1243055555556
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-0_A4.tif,2246.088888888889
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-0_B1.tif,1368.4486111111112
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-0_B4.tif,2011.1
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-0_C1.tif,1639.1541666666667
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-0_C4.tif,1377.5770833333331
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-1_A1.tif,2028.7041666666669
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-1_A4.tif,2662.427777777777
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-1_B1.tif,806.3201388888889
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-1_B4.tif,3006.2166666666667
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-1_C1.tif,1938.2284722222223
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-1_C4.tif,1539.0277777777778
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-2_A1.tif,1574.3944444444444
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-2_A4.tif,2705.851388888889
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-2_B1.tif,1160.2701388888888
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-2_B4.tif,2038.354861111111
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-2_C1.tif,990.4395833333332
75-25_A2780_20and30_IC50treat_Day13_TXR_Tile-2_C4.tif,1655.9965277777778
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-0_A1.tif,757.0805555555556
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-0_A4.tif,1780.0826388888888
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-0_B1.tif,1026.2159722222225
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-0_B4.tif,1874.6576388888889
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-0_C1.tif,1105.461111111111
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-0_C4.tif,1314.5319444444444
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-1_A1.tif,2015.138888888889
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-1_A4.tif,2504.7833333333333
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-1_B1.tif,737.9243055555556
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-1_B4.tif,2278.401388888889
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-1_C1.tif,2102.140277777778
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-1_C4.tif,1793.236111111111
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-2_A1.tif,758.6215277777778
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-2_A4.tif,1345.9805555555556
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-2_B1.tif,779.4569444444445
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-2_B4.tif,1400.2430555555557
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-2_C1.tif,1280.2020833333331
75-25_A2780_20and30_IC50treat_Day14_TXR_Tile-2_C4.tif,1327.3215277777776
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-0_A1.tif,140.99583333333334
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-0_A4.tif,298.20624999999995
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-0_B1.tif,152.6361111111111
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-0_B4.tif,260.3493055555556
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-0_C1.tif,216.5625
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-0_C4.tif,405.90972222222223
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-1_A1.tif,165.1576388888889
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-1_A4.tif,303.36319444444445
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-1_B1.tif,113.69236111111113
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-1_B4.tif,217.6277777777778
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-1_C1.tif,225.54305555555555
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-1_C4.tif,328.04305555555555
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-2_A1.tif,83.81319444444445
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-2_A4.tif,242.3993055555556
75-25_A2780_20and30_IC50treat_Day1_TXR_Tile-2_B1.tif,147.9798611111111
