source_file,Day,day_mean_value,day_sd,n_wells,day_sem
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,1,99.62,26.3815,6,10.7702
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,2,151.65,53.0059,6,21.6396
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,3,256.71,94.2416,6,38.474
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,4,308.39,113.6513,6,46.3979
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,5,458.41,135.4917,6,55.3143
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,6,443.2,106.129,6,43.327
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,7,684.74,269.5948,6,110.0616
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,8,381.45,131.3127,6,53.6082
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,9,434.43,165.9306,6,67.7409
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,10,381.81,146.4227,6,59.7768
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,11,827.93,618.4642,6,252.487
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,12,564.25,286.5471,6,116.9824
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,13,1105.27,957.5678,6,390.9254
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,14,404.8,199.2633,6,81.3489
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,1,154.28,28.4555,6,11.6169
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,2,285.21,53.3718,6,21.7889
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,3,425.08,53.4105,6,21.8047
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,4,562.62,81.115,6,33.1151
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,5,850.45,146.7213,6,59.8987
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,6,932.26,155.2712,6,63.3892
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,7,1392.04,224.3065,6,91.5727
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,8,999.73,130.189,6,53.1494
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,9,1287.63,191.6168,6,78.2272
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,10,1285.18,219.2581,6,89.5117
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,11,1589.92,371.13,6,151.5132
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,12,1183.66,376.37,6,153.6524
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,13,1283.01,316.0883,6,129.0425
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,14,1010.31,186.3341,6,76.0706
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,1,216.95,77.6938,6,31.7184
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,2,395.04,170.508,6,69.6096
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,3,575.9,243.1817,6,99.2785
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,4,750.96,322.5407,6,131.6767
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,5,1098.77,378.7628,6,154.6293
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,6,1222.95,450.4089,6,183.8787
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,7,1636.88,637.1242,6,260.1049
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,8,1417.09,443.7281,6,181.1512
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,9,1830.37,503.6035,6,205.5953
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,10,2137.61,509.2529,6,207.9016
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,11,2132.98,452.9411,6,184.9124
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,12,1500.2,456.8478,6,186.5073
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,13,1762.65,555.362,6,226.7256
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,14,1454.53,395.7462,6,161.5627
