Day,Well,mean_value,n_tiles,n_channels
1,A2,57.84,3,1
1,A5,77.8,3,1
1,B2,40.79,3,1
1,B5,44.62,3,1
1,C2,50.18,3,1
1,C5,48.94,3,1
2,A2,97.96,3,1
2,A5,131.42,3,1
2,B2,67.35,3,1
2,B5,61.6,3,1
2,C2,82.46,3,1
2,C5,74.24,3,1
3,A2,166.8,3,1
3,A5,186.38,3,1
3,B2,112.61,3,1
3,B5,98.43,3,1
3,C2,132.48,3,1
3,C5,124.92,3,1
4,A2,287.73,3,1
4,A5,364.46,3,1
4,B2,245.39,3,1
4,B5,249.38,3,1
4,C2,242.09,3,1
4,C5,279.2,3,1
5,A2,456.3,3,1
5,A5,592.92,3,1
5,B2,386.59,3,1
5,B5,410.08,3,1
5,C2,384.38,3,1
5,C5,407.2,3,1
6,A2,776.01,3,1
6,A5,1076.77,3,1
6,B2,614.56,3,1
6,B5,711.11,3,1
6,C2,626.92,3,1
6,C5,623.96,3,1
7,A2,1292.16,3,1
7,A5,1845.22,3,1
7,B2,1120.31,3,1
7,B5,1559.67,3,1
7,C2,1114.0,3,1
7,C5,1070.68,3,1
8,A2,1693.11,3,1
8,A5,1637.46,3,1
8,B2,1226.67,3,1
8,B5,1367.23,3,1
8,C2,1143.34,3,1
8,C5,934.58,3,1
9,A2,2761.39,3,1
9,A5,2725.99,3,1
9,B2,2075.85,3,1
9,B5,2429.94,3,1
9,C2,1626.82,3,1
9,C5,1792.26,3,1
10,A2,2766.78,3,1
10,A5,2752.49,3,1
10,B2,1988.76,3,1
10,B5,2358.55,3,1
10,C2,1778.8,3,1
10,C5,1792.62,3,1
11,A2,3227.32,3,1
11,A5,3204.06,3,1
11,B2,2595.23,3,1
11,B5,2804.05,3,1
11,C2,2289.33,3,1
11,C5,2149.35,3,1
12,A2,2336.94,3,1
12,A5,1961.45,3,1
12,B2,2346.35,3,1
12,B5,2764.93,3,1
12,C2,1625.98,3,1
12,C5,1785.05,3,1
13,A2,3481.45,3,1
13,A5,3332.59,3,1
13,B2,3441.56,3,1
13,B5,3714.91,3,1
13,C2,2852.41,3,1
13,C5,3291.01,3,1
14,A2,2067.81,3,1
14,A5,2346.81,3,1
14,B2,2372.42,3,1
14,B5,2694.58,3,1
14,C2,2162.17,3,1
14,C5,2247.88,3,1
