Image,Cells µm^2
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_A2.tif,1981.6798611111112
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_A5.tif,2500.7166666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_B2.tif,1850.605555555556
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_B5.tif,2539.889583333333
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_C2.tif,1555.326388888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_C5.tif,2061.5916666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_A2.tif,3541.8
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_A5.tif,2834.523611111111
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_B2.tif,2594.141666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_B5.tif,2799.399305555556
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_C2.tif,2648.929166666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_C5.tif,1626.4951388888887
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_A2.tif,2776.871527777778
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_A5.tif,2922.227083333333
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_B2.tif,1521.5291666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_B5.tif,1736.3597222222222
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_C2.tif,1132.1340277777776
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_C5.tif,1689.7798611111111
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-3_A2.tif,2610.1270833333333
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-3_A5.tif,2884.71875
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-3_B2.tif,2552.9159722222225
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-3_B5.tif,2520.479861111111
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-3_C2.tif,2075.0375000000004
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-3_C5.tif,2068.663888888889
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-4_A2.tif,4031.215277777778
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-4_A5.tif,3423.172916666667
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-4_B2.tif,3150.461111111111
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-4_B5.tif,3749.943055555556
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-4_C2.tif,3072.4430555555555
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-4_C5.tif,2462.492361111111
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-5_A2.tif,3040.624305555556
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-5_A5.tif,3304.288888888889
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-5_B2.tif,2082.3
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-5_B5.tif,2141.733333333333
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-5_C2.tif,1720.5124999999998
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-5_C5.tif,1916.899305555556
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-3_A2.tif,1931.6326388888888
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-3_A5.tif,2674.0222222222224
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-3_B2.tif,2442.5958333333333
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-3_B5.tif,2469.7902777777776
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-3_C2.tif,1330.1222222222225
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-3_C5.tif,1345.888888888889
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-4_A2.tif,2568.5444444444447
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-4_A5.tif,1714.8159722222222
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-4_B2.tif,2619.121527777778
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-4_B5.tif,3555.5381944444443
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-4_C2.tif,2111.2902777777776
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-4_C5.tif,2327.048611111112
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-5_A2.tif,2510.6319444444443
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-5_A5.tif,1495.5124999999998
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-5_B2.tif,1977.3201388888888
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-5_B5.tif,2269.470138888889
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-5_C2.tif,1436.5375
50-50_A2780_20and30_IC50treat_Day12_FITC_Tile-5_C5.tif,1682.2138888888887
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-3_A2.tif,3556.335416666667
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-3_A5.tif,4020.0486111111113
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-3_B2.tif,3641.626388888888
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-3_B5.tif,3826.19375
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-3_C2.tif,2587.9972222222223
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-3_C5.tif,3614.4284722222224
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-4_A2.tif,2836.142361111112
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-4_A5.tif,3535.6375
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-4_B2.tif,3953.4479166666665
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-4_B5.tif,3740.758333333333
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-4_C2.tif,2828.636805555556
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-4_C5.tif,3080.114583333333
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-5_A2.tif,4051.8777777777777
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-5_A5.tif,2442.070138888889
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-5_B2.tif,2729.610416666667
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-5_B5.tif,3577.7770833333334
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-5_C2.tif,3140.60625
50-50_A2780_20and30_IC50treat_Day13_FITC_Tile-5_C5.tif,3178.491666666667
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-3_A2.tif,2530.934027777778
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-3_A5.tif,2408.1069444444447
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-3_B2.tif,2444.3416666666667
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-3_B5.tif,1178.8305555555555
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-3_C2.tif,1922.877777777778
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-3_C5.tif,1588.0375
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-4_A2.tif,1304.0284722222225
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-4_A5.tif,1998.3847222222223
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-4_B2.tif,2904.245138888889
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-4_B5.tif,4159.887500000001
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-4_C2.tif,2599.774305555556
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-4_C5.tif,2640.3444444444444
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-5_A2.tif,2368.4784722222225
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-5_A5.tif,2633.949305555556
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-5_B2.tif,1768.679861111111
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-5_B5.tif,2745.0069444444443
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-5_C2.tif,1963.846527777778
50-50_A2780_20and30_IC50treat_Day14_FITC_Tile-5_C5.tif,2515.248611111111
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-3_A2.tif,41.20486111111112
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-3_A5.tif,38.202777777777776
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-3_B2.tif,39.730555555555554
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-3_B5.tif,43.75486111111111
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-3_C2.tif,41.99097222222222
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-3_C5.tif,56.125
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-4_A2.tif,47.24305555555556
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-4_A5.tif,85.92916666666666
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-4_B2.tif,28.70069444444444
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-4_B5.tif,63.4048611111111
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-4_C2.tif,69.59861111111111
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-4_C5.tif,42.38263888888889
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-5_A2.tif,85.08680555555556
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-5_A5.tif,109.25833333333334
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-5_B2.tif,53.93055555555556
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-5_B5.tif,26.697222222222223
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-5_C2.tif,38.94027777777777
50-50_A2780_20and30_IC50treat_Day1_FITC_Tile-5_C5.tif,48.326388888888886
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-3_A2.tif,65.05555555555556
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-3_A5.tif,70.18402777777777
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-3_B2.tif,66.67083333333333
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-3_B5.tif,64.9673611111111
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-3_C2.tif,71.28819444444444
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-3_C5.tif,93.25208333333332
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-4_A2.tif,86.10555555555555
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-4_A5.tif,137.67708333333334
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-4_B2.tif,56.265972222222224
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-4_B5.tif,64.19513888888889
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-4_C2.tif,119.10625
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-4_C5.tif,65.65902777777778
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-5_A2.tif,142.73125
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-5_A5.tif,186.39444444444445
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-5_B2.tif,79.10416666666667
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-5_B5.tif,55.63819444444445
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-5_C2.tif,56.99930555555555
50-50_A2780_20and30_IC50treat_Day2_FITC_Tile-5_C5.tif,63.8138888888889
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-3_A2.tif,118.28125
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-3_A5.tif,98.48611111111111
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-3_B2.tif,107.12430555555557
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-3_B5.tif,88.1548611111111
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-3_C2.tif,121.1236111111111
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-3_C5.tif,163.51388888888889
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-4_A2.tif,160.68819444444443
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-4_A5.tif,229.70138888888889
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-4_B2.tif,104.88819444444444
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-4_B5.tif,121.05694444444444
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-4_C2.tif,185.9361111111111
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-4_C5.tif,106.42986111111112
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-5_A2.tif,221.4263888888889
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-5_A5.tif,230.95694444444447
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-5_B2.tif,125.82222222222224
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-5_B5.tif,86.07083333333334
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-5_C2.tif,90.38402777777776
50-50_A2780_20and30_IC50treat_Day3_FITC_Tile-5_C5.tif,104.80694444444444
