source_file,Day,day_mean_value,n_wells
combined_well_day_averages.csv,1,158.61,18
combined_well_day_averages.csv,2,268.49,18
combined_well_day_averages.csv,3,410.93,18
combined_well_day_averages.csv,4,555.98,18
combined_well_day_averages.csv,5,786.48,18
combined_well_day_averages.csv,6,872.58,18
combined_well_day_averages.csv,7,1272.03,18
combined_well_day_averages.csv,8,950.55,18
combined_well_day_averages.csv,9,1064.44,18
combined_well_day_averages.csv,10,1274.03,18
combined_well_day_averages.csv,11,1106.38,18
combined_well_day_averages.csv,12,1357.82,18
combined_well_day_averages.csv,13,1567.32,18
combined_well_day_averages.csv,14,1312.9,18
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,1,92.29,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,2,166.94,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,3,254.02,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,4,304.33,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,5,467.27,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,6,478.99,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,7,644.63,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,8,433.01,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,9,360.13,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,10,420.39,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,11,492.48,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,12,788.84,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,13,1077.72,6
measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,14,921.54,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,1,165.46,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,2,282.02,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,3,432.84,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,4,607.82,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,5,879.0,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,6,947.11,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,7,1412.78,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,8,1018.18,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,9,1172.49,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,10,1294.57,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,11,1082.5,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,12,1456.92,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,13,1700.33,6
measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,14,1370.07,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,1,218.08,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,2,356.53,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,3,545.95,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,4,755.78,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,5,1013.16,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,6,1191.63,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,7,1758.69,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,8,1400.46,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,9,1660.71,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,10,2107.13,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,11,1744.18,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,12,1827.71,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,13,1923.91,6
measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,14,1647.07,6
