Image,Cells µm^2
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_A1.tif,1924.063194444444
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_A4.tif,2063.2250000000004
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_B1.tif,1660.0034722222222
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_B4.tif,2671.104861111111
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_C1.tif,900.3055555555555
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-3_C4.tif,1693.9944444444443
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_A1.tif,2564.2590277777776
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_A4.tif,3598.6972222222225
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_B1.tif,1362.170138888889
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_B4.tif,2621.1319444444443
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_C1.tif,1809.8277777777776
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-4_C4.tif,2751.898611111111
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_A1.tif,1928.877777777778
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_A4.tif,3336.6937500000004
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_B1.tif,1098.7104166666666
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_B4.tif,2254.338888888889
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_C1.tif,1983.880555555556
75-25_A2780_20and30_IC50treat_Day10_TXR_Tile-5_C4.tif,1705.0770833333331
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_A1.tif,1790.554861111111
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_A4.tif,1632.9145833333334
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_B1.tif,1693.7055555555555
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_B4.tif,2420.797916666667
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_C1.tif,777.2347222222222
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-3_C4.tif,1825.971527777778
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_A1.tif,1856.6972222222223
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_A4.tif,2879.8479166666666
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_B1.tif,1266.1743055555555
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_B4.tif,1986.0604166666667
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_C1.tif,1101.2354166666669
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-4_C4.tif,2327.972222222222
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-5_A1.tif,1776.040972222222
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-5_A4.tif,2154.190972222222
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-5_B1.tif,963.8659722222224
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-5_B4.tif,1703.7861111111113
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-5_C1.tif,1513.4479166666667
75-25_A2780_20and30_IC50treat_Day11_TXR_Tile-5_C4.tif,1724.6569444444444
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-3_A1.tif,1565.9541666666669
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-3_A4.tif,1583.4666666666667
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-3_B1.tif,1579.4597222222224
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-3_B4.tif,2511.168055555556
75-25_A2780_20and30_IC50treat_Day12_TXR_Tile-3_C1.tif,1076.4604166666666
