file,value_column,rows_in,days,wells,output,density,cis_status
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\cis\Averages\measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,20k,cis
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\cis\Averages\measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,20k,cis
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\cis\Averages\measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,20k,cis
measure_25-75A2780IC50tre1uM_2000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\non_cis\Averages\measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,20k,non_cis
measure_50-50A2780IC50tre1uM_2000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\non_cis\Averages\measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,20k,non_cis
measure_75-25A2780IC50tre1uM_2000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\non_cis\Averages\measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,20k,non_cis
measure_25-75A2780cisIC50tre1uM_5000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\cis\Averages\measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,30k,cis
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\cis\Averages\measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,30k,cis
measure_75-25A2780cisIC50tre1uM_5000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\cis\Averages\measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,30k,cis
measure_25-75A2780IC50tre1uM_2000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\non_cis\Averages\measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,30k,non_cis
measure_50-50A2780IC50tre1uM_2000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\non_cis\Averages\measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,30k,non_cis
measure_75-25A2780IC50tre1uM_2000Thres.csv,Cells µm^2,252,14,6,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\non_cis\Averages\measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,30k,non_cis
