density,file,cis,destination,action
20k,measure_25-75A2780cisIC50tre1uM_5000Thres.csv,True,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\cis\measure_25-75A2780cisIC50tre1uM_5000Thres.csv,copied
20k,measure_25-75A2780IC50tre1uM_2000Thres.csv,False,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\non_cis\measure_25-75A2780IC50tre1uM_2000Thres.csv,copied
20k,measure_50-50A2780cisIC50tre1uM_5000Thres.csv,True,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\cis\measure_50-50A2780cisIC50tre1uM_5000Thres.csv,copied
20k,measure_50-50A2780IC50tre1uM_2000Thres.csv,False,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\non_cis\measure_50-50A2780IC50tre1uM_2000Thres.csv,copied
20k,measure_75-25A2780cisIC50tre1uM_5000Thres.csv,True,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\cis\measure_75-25A2780cisIC50tre1uM_5000Thres.csv,copied
20k,measure_75-25A2780IC50tre1uM_2000Thres.csv,False,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\20k\non_cis\measure_75-25A2780IC50tre1uM_2000Thres.csv,copied
30k,measure_25-75A2780cisIC50tre1uM_5000Thres.csv,True,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\cis\measure_25-75A2780cisIC50tre1uM_5000Thres.csv,copied
30k,measure_25-75A2780IC50tre1uM_2000Thres.csv,False,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\non_cis\measure_25-75A2780IC50tre1uM_2000Thres.csv,copied
30k,measure_50-50A2780cisIC50tre1uM_5000Thres.csv,True,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\cis\measure_50-50A2780cisIC50tre1uM_5000Thres.csv,copied
30k,measure_50-50A2780IC50tre1uM_2000Thres.csv,False,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\non_cis\measure_50-50A2780IC50tre1uM_2000Thres.csv,copied
30k,measure_75-25A2780cisIC50tre1uM_5000Thres.csv,True,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\cis\measure_75-25A2780cisIC50tre1uM_5000Thres.csv,copied
30k,measure_75-25A2780IC50tre1uM_2000Thres.csv,False,D:\3_Research\CancerGrowthDynamics\Processed_Datasets\Treated Coculture\30k\non_cis\measure_75-25A2780IC50tre1uM_2000Thres.csv,copied
