density,cis_status,source_file,output_file,days,mean_first_day
20k,cis,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,measure_25-75A2780cisIC50tre1uM_5000Thres_day_averages.csv,14,88.59
20k,cis,measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,measure_50-50A2780cisIC50tre1uM_5000Thres_day_averages.csv,14,51.28
20k,cis,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,measure_75-25A2780cisIC50tre1uM_5000Thres_day_averages.csv,14,26.93
20k,non_cis,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,measure_25-75A2780IC50tre1uM_2000Thres_day_averages.csv,14,99.62
20k,non_cis,measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,measure_50-50A2780IC50tre1uM_2000Thres_day_averages.csv,14,154.28
20k,non_cis,measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,measure_75-25A2780IC50tre1uM_2000Thres_day_averages.csv,14,216.95
30k,cis,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,measure_25-75A2780cisIC50tre1uM_5000Thres_day_averages.csv,14,87.41
30k,cis,measure_50-50A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,measure_50-50A2780cisIC50tre1uM_5000Thres_day_averages.csv,14,53.36
30k,cis,measure_75-25A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,measure_75-25A2780cisIC50tre1uM_5000Thres_day_averages.csv,14,28.45
30k,non_cis,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,measure_25-75A2780IC50tre1uM_2000Thres_day_averages.csv,14,92.29
30k,non_cis,measure_50-50A2780IC50tre1uM_2000Thres_well_day_averages.csv,measure_50-50A2780IC50tre1uM_2000Thres_day_averages.csv,14,165.46
30k,non_cis,measure_75-25A2780IC50tre1uM_2000Thres_well_day_averages.csv,measure_75-25A2780IC50tre1uM_2000Thres_day_averages.csv,14,218.08
