Image,Cells µm^2
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-0_A2.tif,710.6624999999999
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-0_A5.tif,982.640972222222
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-0_B2.tif,960.60625
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-0_B5.tif,982.9618055555557
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-0_C2.tif,1056.8145833333333
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-0_C5.tif,1305.4354166666667
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-1_A2.tif,1129.15
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-1_A5.tif,1030.0923611111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-1_B2.tif,1285.1402777777778
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-1_B5.tif,1625.1652777777776
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-1_C2.tif,1687.3388888888887
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-1_C5.tif,1819.111111111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-2_A2.tif,1685.5118055555556
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-2_A5.tif,1405.611111111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-2_B2.tif,781.3930555555556
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-2_B5.tif,1457.6444444444444
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-2_C2.tif,1510.3125
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-2_C5.tif,1717.7083333333333
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-3_A2.tif,752.9673611111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-3_A5.tif,1245.3777777777775
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-3_B2.tif,1200.1277777777775
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-3_B5.tif,1409.9604166666666
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-3_C2.tif,1027.7041666666669
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-3_C5.tif,1310.74375
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-4_A2.tif,1874.534027777778
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-4_A5.tif,2109.865277777777
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-4_B2.tif,1156.8736111111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-4_B5.tif,1440.7173611111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-4_C2.tif,2123.483333333333
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-4_C5.tif,1073.7694444444444
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-5_A2.tif,1393.1534722222225
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-5_A5.tif,1860.0902777777776
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-5_B2.tif,764.9743055555556
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-5_B5.tif,977.529861111111
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-5_C2.tif,717.6041666666666
50-50_A2780_20and30_IC50treat_Day10_TXR_Tile-5_C5.tif,862.7340277777778
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-0_A2.tif,638.8027777777778
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-0_A5.tif,1521.4652777777778
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-0_B2.tif,1108.1986111111112
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-0_B5.tif,1367.5493055555555
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-0_C2.tif,1214.9243055555555
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-0_C5.tif,1919.5097222222223
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-1_A2.tif,1493.9215277777778
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-1_A5.tif,1183.6062499999998
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-1_B2.tif,1296.7236111111113
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-1_B5.tif,1704.0791666666669
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-1_C2.tif,1618.4743055555557
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-1_C5.tif,1845.6041666666667
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-2_A2.tif,2031.811805555556
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-2_A5.tif,2280.0805555555557
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-2_B2.tif,624.5847222222222
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-2_B5.tif,2372.9125000000004
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-2_C2.tif,1875.7402777777777
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-2_C5.tif,2520.578472222222
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-3_A2.tif,867.1958333333333
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-3_A5.tif,928.251388888889
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-3_B2.tif,973.5583333333332
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-3_B5.tif,854.8083333333333
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-3_C2.tif,884.2638888888889
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-3_C5.tif,971.8402777777778
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-4_A2.tif,1755.0715277777776
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-4_A5.tif,1868.3930555555555
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-4_B2.tif,860.3916666666667
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-4_B5.tif,1430.8305555555555
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-4_C2.tif,1668.00625
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-4_C5.tif,1144.9131944444443
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-5_A2.tif,1139.8055555555557
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-5_A5.tif,1542.790972222222
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-5_B2.tif,578.1881944444444
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-5_B5.tif,766.4166666666666
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-5_C2.tif,585.9833333333333
50-50_A2780_20and30_IC50treat_Day11_TXR_Tile-5_C5.tif,664.3576388888889
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-0_A2.tif,669.1583333333333
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-0_A5.tif,898.0374999999999
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-0_B2.tif,1682.6444444444444
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-0_B5.tif,592.9215277777778
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-0_C2.tif,487.81111111111113
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-0_C5.tif,1045.961111111111
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-1_A2.tif,1683.13125
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-1_A5.tif,2774.271527777777
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-1_B2.tif,2400.8229166666665
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-1_B5.tif,946.265277777778
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-1_C2.tif,1210.0180555555555
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-1_C5.tif,1416.4291666666666
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-2_A2.tif,439.4180555555556
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-2_A5.tif,1092.3506944444443
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-2_B2.tif,1046.5569444444443
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-2_B5.tif,1075.5048611111113
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-2_C2.tif,884.4541666666667
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-2_C5.tif,960.1159722222224
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-3_A2.tif,1215.0263888888887
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-3_A5.tif,1802.3819444444443
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-3_B2.tif,1770.4569444444444
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-3_B5.tif,1441.525
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-3_C2.tif,877.0722222222222
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-3_C5.tif,952.9347222222224
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-4_A2.tif,1631.5916666666667
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-4_A5.tif,994.3444444444444
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-4_B2.tif,1302.507638888889
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-4_B5.tif,2580.8722222222223
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-4_C2.tif,1957.60625
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-4_C5.tif,1778.2381944444444
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-5_A2.tif,1518.742361111111
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-5_A5.tif,1162.6791666666666
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-5_B2.tif,1277.5708333333334
50-50_A2780_20and30_IC50treat_Day12_TXR_Tile-5_B5.tif,1528.8833333333334
