Image,Cells µm^2
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-0_A2.tif,1992.7236111111115
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-0_A5.tif,2433.879861111111
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-0_B2.tif,2773.083333333333
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-0_B5.tif,2598.4444444444443
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-0_C2.tif,1778.6576388888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-0_C5.tif,2071.2
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-1_A2.tif,2219.3770833333333
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-1_A5.tif,1857.377777777778
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-1_B2.tif,1783.476388888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-1_B5.tif,2708.109027777778
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-1_C2.tif,1661.8937500000002
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-1_C5.tif,1442.6395833333331
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-2_A2.tif,3207.827777777778
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-2_A5.tif,3556.695138888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-2_B2.tif,2448.976388888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-2_B5.tif,2873.925694444444
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-2_C2.tif,1892.8506944444443
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-2_C5.tif,2673.101388888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_A2.tif,1981.6798611111112
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_A5.tif,2500.7166666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_B2.tif,1850.605555555556
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_B5.tif,2539.889583333333
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_C2.tif,1555.326388888889
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-3_C5.tif,2061.5916666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_A2.tif,3541.8
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_A5.tif,2834.523611111111
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_B2.tif,2594.141666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_B5.tif,2799.399305555556
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_C2.tif,2648.929166666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-4_C5.tif,1626.4951388888887
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_A2.tif,2776.871527777778
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_A5.tif,2922.227083333333
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_B2.tif,1521.5291666666667
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_B5.tif,1736.3597222222222
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_C2.tif,1132.1340277777776
50-50_A2780_20and30_IC50treat_Day10_FITC_Tile-5_C5.tif,1689.7798611111111
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-0_A2.tif,2373.695833333333
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-0_A5.tif,3489.473611111111
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-0_B2.tif,3627.065972222222
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-0_B5.tif,3954.865972222222
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-0_C2.tif,2827.0069444444443
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-0_C5.tif,3698.3965277777775
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-1_A2.tif,3295.2597222222225
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-1_A5.tif,2878.151388888889
50-50_A2780_20and30_IC50treat_Day11_FITC_Tile-1_B2.tif,2672.198611111111
