Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,A1,6,64.343634,18.033401,7.362105
1,A2,6,70.884954,14.111671,5.761066
1,A3,6,62.997454,15.693026,6.406651
2,A1,6,144.667940,26.972241,11.011371
2,A2,6,139.543403,31.926726,13.034031
2,A3,6,123.846875,34.222338,13.971211
3,A1,6,280.497106,47.764381,19.499727
3,A2,6,258.054745,40.339199,16.468409
3,A3,6,248.684144,49.977961,20.403417
4,A1,6,626.767014,164.946069,67.338951
4,A2,6,647.353472,165.148869,67.421743
4,A3,6,607.435069,128.596891,52.499461
5,A1,6,1094.441782,254.320060,103.825730
5,A2,6,1084.315046,201.624484,82.312851
5,A3,6,988.362616,242.978655,99.195620
6,A1,6,1774.401157,269.951964,110.207428
6,A2,6,1654.999306,290.647052,118.656162
6,A3,6,1503.897801,209.702273,85.610594
7,A1,6,1952.392940,348.935991,142.452522
7,A2,6,2015.008796,247.405401,101.002832
7,A3,6,1698.976273,338.583702,138.226217
8,A1,6,1643.588657,322.653936,131.722918
8,A2,6,1789.357176,220.622885,90.068916
8,A3,6,1489.593287,335.365982,136.912589
9,A1,6,2492.358449,324.570419,132.505319
9,A2,6,2328.386921,372.067356,151.895862
9,A3,6,2350.606597,225.718997,92.149395
10,A1,6,1762.939468,205.955777,84.081094
10,A2,6,2005.652199,411.198423,167.871053
10,A3,6,1887.046296,422.133928,172.335455
11,A1,6,2519.041088,416.592737,170.073273
11,A2,6,2869.570023,364.885338,148.963815
11,A3,6,2692.752546,217.956442,88.980345
12,A1,6,2421.524190,556.642162,227.248211
12,A2,6,2780.724884,462.652074,188.876918
12,A3,6,2462.494329,292.570551,119.441427
13,A1,6,3104.487153,726.474859,296.582119
13,A2,6,3378.862847,429.287156,175.255748
13,A3,6,3204.577083,297.031951,121.262786
14,A1,6,2944.679398,582.165168,237.667935
14,A2,6,3197.698495,630.582386,257.434181
14,A3,6,3372.976389,583.842895,238.352864
