Image,Cells µm^2
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_A4.tif,3311.9750000000004
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_A5.tif,2625.368055555556
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-0_A6.tif,3651.6152777777775
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_A4.tif,2990.5631944444444
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_A5.tif,2654.1847222222223
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-1_A6.tif,3031.1118055555557
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_A4.tif,3065.2159722222223
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_A5.tif,3339.547222222222
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-2_A6.tif,4137.433333333333
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_A4.tif,2397.645138888889
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_A5.tif,3403.741666666667
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-3_A6.tif,2877.6118055555557
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_A4.tif,2801.375
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_A5.tif,3602.8840277777776
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-4_A6.tif,3665.5798611111113
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_A4.tif,2639.24375
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_A5.tif,3294.3069444444445
A2780cis_20and30_IC50treated_Day10_25_FITC_Tile-5_A6.tif,2938.0569444444445
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_A4.tif,3909.7527777777777
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_A5.tif,3670.8777777777777
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-0_A6.tif,4278.764583333334
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_A4.tif,3539.58125
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_A5.tif,3633.28125
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-1_A6.tif,3336.9083333333333
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-2_A4.tif,3906.9416666666666
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-2_A5.tif,4335.065972222223
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-2_A6.tif,4367.554861111112
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-3_A4.tif,3337.578472222222
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-3_A5.tif,3530.883333333333
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-3_A6.tif,3400.0062500000004
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-4_A4.tif,3545.9756944444443
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-4_A5.tif,4035.434027777778
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-4_A6.tif,4087.9819444444447
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-5_A4.tif,3144.101388888889
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-5_A5.tif,3436.7208333333333
A2780cis_20and30_IC50treated_Day11_25_FITC_Tile-5_A6.tif,3472.282638888889
A2780cis_20and30_IC50treated_Day12_25_FITC_Tile-0_A4.tif,2052.7631944444447
A2780cis_20and30_IC50treated_Day12_25_FITC_Tile-0_A5.tif,1525.03125
A2780cis_20and30_IC50treated_Day12_25_FITC_Tile-0_A6.tif,1835.7631944444447
A2780cis_20and30_IC50treated_Day12_25_FITC_Tile-1_A4.tif,3605.6875
A2780cis_20and30_IC50treated_Day12_25_FITC_Tile-1_A5.tif,3179.90625
A2780cis_20and30_IC50treated_Day12_25_FITC_Tile-1_A6.tif,3267.0416666666665
