Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,305.189622,48.448552,27.971785
2,3,465.637384,60.508546,34.934625
3,3,790.214892,112.825256,65.139692
4,3,880.948534,87.464065,50.497402
5,3,1277.001080,165.056016,95.295135
6,3,1612.012230,114.630479,66.181938
7,3,2016.424422,298.092832,172.103977
8,3,2081.411111,165.688126,95.660084
9,3,2395.054707,170.459562,98.414874
10,3,2537.198418,262.307547,151.443333
11,3,3073.887500,306.936504,177.209873
12,3,3042.368326,136.035129,78.539918
13,3,3537.746373,88.161999,50.900354
14,3,3458.380864,112.619189,65.020719
