Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,79.832716,13.504702,7.796943
2,3,136.681867,14.583473,8.419772
3,3,256.032137,30.635367,17.687337
4,3,551.487654,76.416926,44.119333
5,3,932.248611,115.574686,66.727076
6,3,1630.143596,213.069510,123.015739
7,3,2349.248958,311.840000,180.040908
8,3,2344.200309,162.672289,93.918890
9,3,3261.814429,214.735733,123.977733
10,3,2744.403163,327.532973,189.101250
11,3,3624.010957,310.878968,179.486056
12,3,2656.839391,207.744389,119.941279
13,3,3902.575039,324.897413,187.579609
14,3,2987.771682,184.935978,106.772837
