Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,B4,6,563.739005,189.862101,77.510878
1,B5,6,763.835648,372.796225,152.193421
1,B6,6,721.710301,354.101840,144.561471
2,B4,6,836.934375,367.404271,149.992165
2,B5,6,1052.749190,458.266826,187.086648
2,B6,6,998.114815,468.004398,191.061995
3,B4,6,1110.770255,306.053670,124.945888
3,B5,6,1448.600810,566.354924,231.213429
3,B6,6,1320.874884,437.439972,178.584121
4,B4,6,1102.200347,297.693806,121.532987
4,B5,6,1422.760069,584.049725,238.437302
4,B6,6,1202.168171,543.743517,221.982361
5,B4,6,1126.599769,398.953168,162.871949
5,B5,6,1260.842824,478.869999,195.497858
5,B6,6,1202.573727,588.229463,240.143673
6,B4,6,1039.977083,310.241552,126.655583
6,B5,6,1248.450810,523.167489,213.582233
6,B6,6,1166.666435,481.834804,196.708235
7,B4,6,856.914120,232.340831,94.852747
7,B5,6,1006.368287,233.576881,95.357363
7,B6,6,862.627546,272.424118,111.216680
8,B4,6,704.287616,232.481357,94.910117
8,B5,6,722.435185,129.363419,52.812395
8,B6,6,626.164468,223.587784,91.279331
9,B4,6,425.967361,103.384796,42.206666
9,B5,6,495.059144,88.463055,36.114891
9,B6,6,433.387500,140.414309,57.323901
10,B4,6,370.128356,59.421574,24.258756
10,B5,6,401.274074,140.059784,57.179167
10,B6,6,283.523958,56.654471,23.129091
11,B4,6,253.318750,45.428178,18.545976
11,B5,6,267.150347,104.774526,42.774021
11,B6,6,196.677546,46.882724,19.139792
12,B4,6,164.456134,12.097765,4.938892
12,B5,6,176.625463,60.512943,24.704306
12,B6,6,119.366088,19.427125,7.931091
13,B4,6,130.490278,38.473710,15.706826
13,B5,6,127.391088,45.211470,18.457505
13,B6,6,87.500694,27.675862,11.298623
14,B4,6,67.374190,18.917929,7.723212
14,B5,6,64.456597,18.764220,7.660461
14,B6,6,49.359028,15.916794,6.498004
